"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","sub_grp9","year"
"kirilan01UTA2002-03",0.197828246624543,-0.264620800508335,1.00963597999146,-0.0582207735050987,-0.00466718609710584,0.557998856541049,0.226845273147727,-0.24145227059499,1.26833920405028,1.77577422630393,1.55270133576053,0.516003502159272,0.417023335769251,0.0102029201580021,0.19786058837507,-0.372848669663081,1.39383603467447,2.54118456110463,0.0951262757613509,-0.491096685538555,0.734585853897904,1,2003
"kittlke01NJN2002-03",0.86295385192937,0.591710190999457,0.623451627488303,1.03709751485456,1.04404952992256,0.704412035922186,0.359844967541189,-0.0747723160552229,1.09891062123707,-0.30772668695496,-0.461628447706409,0.417836534700535,-0.730796520881806,-0.408536104408772,-0.632377958924245,0.0910444425921477,1.39383603467447,-0.211351252465046,-1.43643658414553,-1.21092333420466,0.710427044502768,3,2003
"knighbr01MEM2002-03",-0.666835040271732,-0.772076202883324,-0.0523709893922215,-0.742794703729885,-0.803689445921616,0.203773422554424,-0.30515350442612,-0.274788261502943,-0.194907647518339,-1.2006556497802,-1.09470352251031,-1.17901280262825,-1.05874505135354,-1.06655457158513,-1.19844969571923,3.13212151182087,2.88337866349014,-0.836927573730882,1.88194961231938,0.804591282060427,-1.02900723194704,6,2003
"knightr01NYK2002-03",-1.13242296398511,-0.962371978773945,-0.696011576897482,-0.879709489774842,-0.903567228399679,-0.976978024067658,-0.704152587606505,-0.44146821604271,-0.826414183458479,-0.828601915269684,-0.979598963455052,0.31312510274455,0.335036203151318,0.668221387334361,0.575241746238396,-0.57902338622096,-0.281899422743152,0.41422506880079,-1.05354586916881,1.3084699361267,-1.24643651650327,5,2003
"kukocto01MIL2002-03",0.330853367685509,0.306266527163526,0.0602661134211993,1.8585862311243,1.84307178974707,0.728027064854628,-0.571152893213044,-0.908172088754058,0.698443061860397,0.36197003516397,0.459208024735621,-0.0991761605821447,-0.402847990410076,-0.109436801146791,-0.25499680106092,1.0188306671026,1.02145037747056,-0.211351252465046,0.605647229063646,-0.635062015271775,0.662109425712496,6,2003
"laettch01WAS2002-03",-0.467297358680284,-0.898940053477071,1.05790902405435,-0.879709489774842,-0.803689445921616,-0.386602300756617,-0.0391541156391967,-0.408132225134757,0.944884636861428,-0.30772668695496,-0.576733006761663,0.731970830568492,0.00708767267958749,1.14678027255353,0.726194209383725,0.451850196568436,0.276679063062723,-0.0862359882118792,-0.92591563084324,-0.275148690938725,-0.569989853439453,5,2003
"lafrera01DAL2002-03",0.729928730868405,0.0842547886244689,1.44409337655751,0.626353156719688,0.344905052576117,0.935839319460115,0.492844661934651,-0.141444297871129,1.62259896811426,-0.828601915269684,-0.749389845344544,-0.256243308516123,0.744971866240981,0.129842641462794,0.424289283093066,-0.888285461057779,-0.654285079947068,1.54026244707929,-1.43643658414553,1.59640059559314,0.396362522365997,3,2003
"lamplse01MIA2002-03",-0.467297358680284,-0.550064464344266,0.0924481427964624,-0.879709489774842,-0.803689445921616,-0.976978024067658,-0.0391541156391967,-0.0414363251472696,0.0515339274826921,1.32930974489131,1.61025361528816,-0.171165270051885,0.00708767267958749,-0.109436801146791,-0.0663062221292572,-0.321304990523611,-1.21286356575294,-0.711812309477715,-0.415394677540944,-0.347131355805335,-0.0384960467464554,1,2003
"langhda01PHO2002-03",0.397365928215992,0.686858078944768,-0.438555341895378,-0.0582207735050987,0.095210596380958,0.392693654013957,0.42634481473792,0.691955474827706,-0.364336230331547,-1.2006556497802,-1.15225580203793,-0.79288939729055,-0.484835123028008,0.0700227808103982,-0.179520569488255,-0.78519810277884,-0.281899422743152,-0.461581780971381,-1.30880634581996,0.156747298260936,-0.110972474931864,3,2003
"lenarvo01TOR2002-03",0.86295385192937,1.22602944396819,-0.422464327207746,1.44784187298943,1.39362176859579,0.746919088000581,0.0938455787542652,0.358595565748172,-0.410544025644241,0.36197003516397,0.171446627097487,0.542181360148269,-0.812783653499739,-0.76745526832315,-0.85880665364224,-0.115130273965732,-0.0957065941411934,-0.461581780971381,-0.287764439215371,-0.563079350405165,1.0003327572444,3,2003
"lewisra02SEA2002-03",0.86295385192937,0.750290004241641,0.38208640717383,0.352523584629773,0.344905052576117,0.657181978057303,0.758844050721574,0.558611511195892,0.482806683734495,0.659613022772384,0.459208024735621,0.646892792104254,-0.074899459938345,-0.109436801146791,-0.141782453701922,-0.6821107444999,0.0904862344607646,-0.461581780971381,-0.543024915866518,-0.922992674738216,0.927856329058994,3,2003
"longar01PHI2002-03",0.264340807155026,0.782005966890078,-0.77646665033564,-0.468965131639971,-0.803689445921616,3.74602776242067,0.492844661934651,1.39201128389473,-1.19607654596003,-1.57270938429072,-1.09470352251031,-3.41067519619019,1.40086892718444,1.80479873972989,1.78286145140104,-1.24909121503407,-1.21286356575294,1.79049297558563,0.478016990738072,1.66838326045975,-0.400878187673499,8,2003
"longar01TOR2002-03",-0.467297358680284,0.0208228633275956,-1.09828694408827,-0.195135559550056,-0.504056098487424,1.38452486917651,-0.371653351622851,0.358595565748172,-1.48872591627375,-1.42388789048651,-0.576733006761663,-3.41067519619019,1.40086892718444,0.608401526681965,1.02809913567439,-0.57902338622096,0.462871891664681,0.789570861560291,3.66877294887742,1.59640059559314,-0.884054375576224,8,2003
"longgr01BOS2002-03",-1.86406112982042,-1.91385085822705,-0.679920562209851,-0.879709489774842,-0.853628337160648,-0.976978024067658,-1.43565090677055,-1.47488393418927,-0.641583002207706,-0.828601915269684,-0.922046683927425,0.404747605706037,-0.074899459938345,0.0102029201580021,-0.0663062221292572,-0.57902338622096,-0.840477908549027,-0.836927573730882,-0.92591563084324,0.660625952327206,-1.77793032319626,5,2003
"luety01WAS2002-03",-0.201247116558353,-0.264620800508335,0.0763571281088308,0.626353156719688,0.644538400010309,0.633566949124862,-0.504653046016313,-0.708156143306337,0.452001486859366,-0.605369674563374,-0.806942124872171,1.00683833945295,-1.2227193165894,-1.24601415354232,-1.34940215886456,0.967286987963135,-0.46809225134511,-0.96204283798405,-0.92591563084324,-0.707044680138385,-0.231766521907546,6,2003
