"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","P. Brown†|†E. Campbell†|†B. Davis†|†J. Mashburn†|†D. Wesley","CHH","2000-01","69","1313.2","2462","2476","90.2","35.7","81.0",".441","4.6","12.0",".381",".469","17.4","22.9",".758","93.3","24.1","8.3","4.8","13.6","19.3","+1.3","+1.4","+.009","-0.4","-1.4","+.008","+.006","+2.3","+2.7","+.014","+4.5","P.J. Brown","Elden Campbell","Baron Davis","Jamal Mashburn","David Wesley","/players/b/brownpj01.html","/players/c/campbel01.html","/players/d/davisba01.html","/players/m/mashbja01.html","/players/w/wesleda01.html"
"3","2","D. Christie†|†V. Divac†|†P. Stojakovic†|†C. Webber†|†J. Williams","SAC","2000-01","56","1129.8","2308","2302","97.9","42.4","87.6",".484","6.0","16.9",".358",".518","15.6","20.7",".756","106.5","26.1","9.5","5.0","14.8","15.7","+1.1","-3.4","+.031","+0.6","+3.7","-.057","+.035","+4.2","+5.4","+.010","+7.1","Doug Christie","Vlade Divac","Peja Stojakoviƒá","Chris Webber","Jason Williams","/players/c/chrisdo01.html","/players/d/divacvl01.html","/players/s/stojape01.html","/players/w/webbech01.html","/players/w/willija02.html"
"4","3","B. Bowen†|†B. Grant†|†T. Hardaway†|†E. Jones†|†A. Mason","MIA","2000-01","58","909.2","1633","1644","86.5","32.6","74.8",".436","7.4","19.3",".384",".486","16.0","20.9",".770","88.7","19.1","7.1","4.3","12.8","19.6","-1.0","-2.5","+.001","+2.7","+7.0",".000","+.020","+1.6","+2.0","+.002","+2.3","Bruce Bowen","Brian Grant","Tim Hardaway","Eddie Jones","Anthony Mason","/players/b/bowenbr01.html","/players/g/grantbr01.html","/players/h/hardati01.html","/players/j/jonesed02.html","/players/m/masonan01.html"
"5","4","R. LaFrentz†|†V. Lenard†|†A. McDyess†|†J. Posey†|†N. Van Exel","DEN","2000-01","57","841.9","1628","1629","92.9","37.1","86.1",".431","7.7","20.8",".370",".476","16.8","21.2",".792","98.7","25.8","5.1","7.0","12.3","18.6","-1.3","-1.9","-.006","+2.5","+7.7","-.026","+.010","+3.0","+2.4","+.057","+2.9","Raef LaFrentz","Voshon Lenard","Antonio McDyess","James Posey","Nick Van Exel","/players/l/lafrera01.html","/players/l/lenarvo01.html","/players/m/mcdyean01.html","/players/p/poseyja01.html","/players/v/vanexni01.html"
"6","5","K. Bryant†|†R. Fox†|†H. Grant†|†R. Harper†|†S. O'Neal","LAL","2000-01","32","524.2","986","988","90.4","40.7","83.8",".485","5.0","13.8",".364",".515","12.9","21.2",".610","99.3","25.9","6.0","7.6","14.0","17.2","+4.3","-0.5","+.054","+1.3","+3.4","+.005","+.061","-2.1","+1.0","-.135","+7.8","Kobe Bryant","Rick Fox","Horace Grant","Ron Harper","Shaquille O'Neal","/players/b/bryanko01.html","/players/f/foxri01.html","/players/g/grantho01.html","/players/h/harpero01.html","/players/o/onealsh01.html"
"7","6","D. Davis†|†S. Pippen†|†S. Smith†|†D. Stoudamire†|†R. Wallace","POR","2000-01","52","480.4","880","878","87.8","36.9","78.1",".472","5.1","14.6",".349",".504","17.0","22.6",".752","95.8","23.1","7.4","5.6","14.6","19.7","+3.3","-0.7","+.046","+0.9","+1.7","+.024","+.052","+0.9","+0.4","+.027","+8.4","Dale Davis","Scottie Pippen","Steve Smith","Damon Stoudamire","Rasheed Wallace","/players/d/davisda01.html","/players/p/pippesc01.html","/players/s/smithst01.html","/players/s/stoudda01.html","/players/w/wallara01.html"
"8","7","V. Carter†|†A. Davis†|†C. Oakley†|†M. Peterson†|†A. Williams","TOR","2000-01","41","461.2","897","895","93.3","41.9","88.6",".474","6.2","14.2",".441",".509","13.0","18.3",".710","103.1","27.8","7.7","6.7","12.9","20.0","+4.7","+4.4","+.031","+2.7","+3.0","+.123","+.045","-3.4","-2.2","-.092","+8.6","Vince Carter","Antonio Davis","Charles Oakley","Morris Peterson","Alvin Williams","/players/c/cartevi01.html","/players/d/davisan01.html","/players/o/oaklech01.html","/players/p/petermo01.html","/players/w/willial02.html"
"9","8","T. Hill†|†A. Iverson†|†G. Lynch†|†A. McKie†|†T. Ratliff","PHI","2000-01","27","456.7","854","849","89.5","35.4","77.9",".455","3.4","8.8",".381",".476","17.8","24.3",".732","92.0","18.7","6.9","6.7","14.3","15.9","-2.2","-6.2","+.007","-2.4","-6.6","+.007","-0.005","+6.8","+10.4","-.056","0.0","Tyrone Hill","Allen Iverson","George Lynch","Aaron McKie","Theo Ratliff","/players/h/hillty01.html","/players/i/iversal01.html","/players/l/lynchge01.html","/players/m/mckieaa01.html","/players/r/ratlith01.html"
"10","9","K. Malone†|†D. Marshall†|†O. Polynice†|†J. Starks†|†J. Stockton","UTA","2000-01","42","436.6","822","823","90.4","40.8","80.4",".508","2.9","7.6",".377",".525","14.6","18.8",".778","99.1","31.0","9.6","4.7","15.7","21.9","+5.2","+0.2","+.063","-1.6","-7.0","+.069","+.053","+1.2","+0.2","+.056","+9.9","Karl Malone","Donyell Marshall","Olden Polynice","John Starks","John Stockton","/players/m/malonka01.html","/players/m/marshdo01.html","/players/p/polynol01.html","/players/s/starkjo01.html","/players/s/stockjo01.html"
"11","10","V. Carter†|†A. Davis†|†M. Jackson†|†C. Oakley†|†C. Williamson","TOR","2000-01","25","408.9","772","771","90.6","36.3","85.1",".426","4.3","11.7",".370",".452","17.4","23.9",".725","94.3","25.7","7.2","6.2","13.9","17.6","+0.8","+3.4","-.008","+1.3","+1.3","+.078","-0.001","+7.4","+11.2","-.054","+10.3","Vince Carter","Antonio Davis","Mark Jackson","Charles Oakley","Corliss Williamson","/players/c/cartevi01.html","/players/d/davisan01.html","/players/j/jacksma01.html","/players/o/oaklech01.html","/players/w/willico02.html"
