"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","M. Bibby†|†D. Christie†|†V. Divac†|†B. Miller†|†P. Stojakovic","SAC","2003-04","62","1072.4","2101","2085","93.7","42.3","81.7",".518","8.0","17.1",".465",".567","17.8","22.6",".788","110.5","31.4","7.9","4.0","13.1","13.8","+2.4","-4.7","+.056","+2.7","+2.9","+.095","+.074","+5.7","+6.8","+.021","+13.2","Mike Bibby","Doug Christie","Vlade Divac","Brad Miller","Peja Stojakoviƒá","/players/b/bibbymi01.html","/players/c/chrisdo01.html","/players/d/divacvl01.html","/players/m/millebr01.html","/players/s/stojape01.html"
"3","2","J. Collins†|†R. Jefferson†|†J. Kidd†|†K. Kittles†|†K. Martin","NJN","2003-04","55","1020.3","1914","1916","90.1","36.0","79.3",".454","3.5","11.1",".318",".477","16.3","21.7",".753","91.9","26.3","8.9","4.8","12.9","16.6","+2.1","-0.2","+.027","-2.0","-3.7","-.055","+.015","+4.3","+6.3","-.028","+6.4","Jason Collins","Richard Jefferson","Jason Kidd","Kerry Kittles","Kenyon Martin","/players/c/collija04.html","/players/j/jefferi01.html","/players/k/kiddja01.html","/players/k/kittlke01.html","/players/m/martike01.html"
"4","3","C. Anthony†|†M. Camby†|†N. Hil·rio†|†V. Lenard†|†A. Miller","DEN","2003-04","56","980.7","1902","1908","93.2","39.5","82.8",".477","3.0","8.8",".346",".495","17.6","22.8",".772","99.6","23.4","9.3","6.3","15.3","20.0","+2.3","+2.1","+.017","-1.2","-3.7","+.004","+.009","+3.3","+3.1","+.046","+6.8","Carmelo Anthony","Marcus Camby","Nen√™ Hil√°rio","Voshon Lenard","Andre Miller","/players/a/anthoca01.html","/players/c/cambyma01.html","/players/h/hilarne01.html","/players/l/lenarvo01.html","/players/m/millean02.html"
"5","4","K. Cato†|†S. Francis†|†J. Jackson†|†Y. Ming†|†C. Mobley","HOU","2003-04","66","976.2","1781","1788","87.7","35.3","75.9",".464","6.4","15.7",".411",".507","14.8","18.5",".798","91.7","20.6","6.5","6.1","16.6","19.4","+3.0","-4.1","+.062","+2.5","+4.2","+.063","+.080","-0.4","-1.7","+.048","+8.2","Kelvin Cato","Steve Francis","Jim Jackson","Yao Ming","Cuttino Mobley","/players/c/catoke01.html","/players/f/francst01.html","/players/j/jacksji01.html","/players/m/mingya01.html","/players/m/moblecu01.html"
"6","5","C. Billups†|†R. Hamilton†|†M. Okur†|†T. Prince†|†B. Wallace","DET","2003-04","57","698.9","1281","1282","88.0","34.1","80.3",".424","4.5","11.0",".406",".452","17.5","22.2",".789","90.1","20.7","8.6","7.4","13.3","15.4","+1.5","+2.1","+.008","+0.6","-1.9","+.108","+.011","+5.0","+5.6","+.034","+8.7","Chauncey Billups","Richard Hamilton","Mehmet Okur","Tayshaun Prince","Ben Wallace","/players/b/billuch01.html","/players/h/hamilri01.html","/players/o/okurme01.html","/players/p/princta01.html","/players/w/wallabe01.html"
"7","6","S. Cassell†|†K. Garnett†|†T. Hassell†|†E. Johnson†|†L. Sprewell","MIN","2003-04","55","676.6","1267","1270","90.0","40.4","81.3",".497","2.8","6.5",".424",".514","13.2","15.7",".842","96.8","25.3","7.5","6.1","12.8","19.1","+5.2","-2.6","+.078","-1.1","-5.6","+.102","+.072","0.0","-3.0","+.134","+9.4","Sam Cassell","Kevin Garnett","Trenton Hassell","Ervin Johnson","Latrell Sprewell","/players/c/cassesa01.html","/players/g/garneke01.html","/players/h/hassetr01.html","/players/j/johnser02.html","/players/s/sprewla01.html"
"8","7","B. Bowen†|†T. Duncan†|†M. GinÛbili†|†R. Nesterovic†|†T. Parker","SAS","2003-04","48","585.6","1091","1095","89.6","37.3","81.1",".460","4.6","13.1",".350",".488","13.6","21.1",".646","92.8","20.8","7.9","7.1","13.4","17.0","+3.1","+1.6","+.030","+0.4","+2.8","-.055","+.032","+0.2","+2.5","-.080","+6.8","Bruce Bowen","Tim Duncan","Manu Gin√≥bili","Rasho Nesteroviƒá","Tony Parker","/players/b/bowenbr01.html","/players/d/duncati01.html","/players/g/ginobma01.html","/players/n/nestera01.html","/players/p/parketo01.html"
"9","8","S. Abdur-Rahim†|†D. Glover†|†S. Jackson†|†T. Ratliff†|†J. Terry","ATL","2003-04","42","564.4","1076","1062","90.9","34.7","80.9",".429","5.4","15.4",".354",".463","16.6","21.2",".783","91.4","20.1","7.5","7.7","14.5","18.3","-0.1","-6.1","+.029","+1.1","+0.7","+.059","+.038","+2.6","+2.9","+.020","+3.6","Shareef Abdur-Rahim","Dion Glover","Stephen Jackson","Theo Ratliff","Jason Terry","/players/a/abdursh01.html","/players/g/glovedi01.html","/players/j/jacksst02.html","/players/r/ratlith01.html","/players/t/terryja01.html"
"10","9","M. World Peace†|†J. Foster†|†R. Miller†|†J. O'Neal†|†J. Tinsley","IND","2003-04","34","528.6","981","973","88.7","38.1","80.8",".472","8.2","17.7",".462",".522","15.7","21.1",".746","100.2","25.9","9.8","5.3","12.0","17.5","+6.4","+4.2","+.058","+4.7","+6.8","+.145","+.086","+5.1","+6.5","+.014","+22.7","Metta World Peace","Jeff Foster","Reggie Miller","Jermaine O'Neal","Jamaal Tinsley","/players/a/artesro01.html","/players/f/fosteje01.html","/players/m/millere01.html","/players/o/onealje01.html","/players/t/tinslja01.html"
"11","10","D. Anderson†|†D. Miles†|†Z. Randolph†|†T. Ratliff†|†D. Stoudamire","POR","2003-04","30","514.8","906","903","84.3","37.4","78.2",".478","4.4","10.7",".409",".506","12.7","17.4",".727","91.8","21.2","7.4","6.5","12.8","15.6","+2.1","-1.8","+.036","-0.1","-2.8","+.078","+.036","+1.7","+2.6","-.015","+5.7","Derek Anderson","Darius Miles","Zach Randolph","Theo Ratliff","Damon Stoudamire","/players/a/anderde01.html","/players/m/milesda01.html","/players/r/randoza01.html","/players/r/ratlith01.html","/players/s/stoudda01.html"
