"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","J. Kidd†|†K. Kittles†|†T. MacCulloch†|†K. Martin†|†K. Van Horn","NJN","2001-02","55","1000.9","1977","1971","94.7","40.7","87.5",".465","5.8","15.6",".371",".498","13.2","17.1",".770","100.3","28.9","9.4","6.5","15.1","17.4","+1.7","+1.5","+.011","+0.8","+1.6","+.016","+.015","+0.5","-0.3","+.040","+4.7","Jason Kidd","Kerry Kittles","Todd MacCulloch","Kenyon Martin","Keith Van Horn","/players/k/kiddja01.html","/players/k/kittlke01.html","/players/m/maccuto01.html","/players/m/martike01.html","/players/v/vanhoke01.html"
"3","2","D. Davis†|†S. Pippen†|†D. Stoudamire†|†R. Wallace†|†B. Wells","POR","2001-02","49","800.3","1507","1506","90.4","38.3","82.3",".466","6.4","15.7",".408",".505","14.9","18.7",".798","98.0","26.4","8.1","5.2","15.4","17.2","+1.2","+1.9","+.004","+1.1","+1.9","+.026","+.010","+1.5","-0.2","+.089","+5.0","Dale Davis","Scottie Pippen","Damon Stoudamire","Rasheed Wallace","Bonzi Wells","/players/d/davisda01.html","/players/p/pippesc01.html","/players/s/stoudda01.html","/players/w/wallara01.html","/players/w/wellsbo01.html"
"4","3","M. Bibby†|†D. Christie†|†V. Divac†|†P. Stojakovic†|†C. Webber","SAC","2001-02","40","770.4","1543","1540","96.0","40.9","84.9",".481","4.6","12.0",".383",".508","17.6","22.9",".768","103.9","26.7","9.0","5.0","13.3","17.7","-0.7","-5.7","+.023","+0.2","-1.7","+.067","+.026","+5.2","+5.9","+.037","+4.0","Mike Bibby","Doug Christie","Vlade Divac","Peja Stojakoviƒá","Chris Webber","/players/b/bibbymi01.html","/players/c/chrisdo01.html","/players/d/divacvl01.html","/players/s/stojape01.html","/players/w/webbech01.html"
"5","4","B. Bowen†|†T. Duncan†|†T. Parker†|†D. Robinson†|†S. Smith","SAS","2001-02","49","732.1","1371","1354","89.3","38.4","78.2",".490","5.7","13.9",".410",".527","17.2","23.0",".746","99.6","21.2","8.5","6.5","13.8","16.5","+4.6","-3.3","+.076","+1.4","+2.2","+.040","+.086","+6.8","+9.8","-.041","+17.3","Bruce Bowen","Tim Duncan","Tony Parker","David Robinson","Steve Smith","/players/b/bowenbr01.html","/players/d/duncati01.html","/players/p/parketo01.html","/players/r/robinda01.html","/players/s/smithst01.html"
"6","5","D. Armstrong†|†P. Garrity†|†H. Grant†|†T. McGrady†|†M. Miller","ORL","2001-02","43","624.1","1179","1178","90.6","39.1","84.0",".466","10.8","25.1",".428",".530","14.9","20.2",".740","104.0","24.5","8.3","3.7","10.6","14.2","+0.8","+2.0","-.002","+6.1","+14.1","+.005","+.034","+3.1","+4.3","-.007","+10.7","Darrell Armstrong","Pat Garrity","Horace Grant","Tracy McGrady","Mike Miller","/players/a/armstda01.html","/players/g/garripa01.html","/players/g/grantho01.html","/players/m/mcgratr01.html","/players/m/millemi01.html"
"7","6","K. Gill†|†B. Grant†|†E. Jones†|†A. Mourning†|†R. Strickland","MIA","2001-02","43","595.0","1092","1090","88.0","35.7","76.2",".469","1.8","6.6",".268",".480","15.2","20.1",".759","88.5","23.5","6.9","6.3","14.3","19.8","+2.2","-2.2","+.041","-3.0","-5.2","-.133","+.022","+2.1","+1.6","+.047","+3.5","Kendall Gill","Brian Grant","Eddie Jones","Alonzo Mourning","Rod Strickland","/players/g/gillke01.html","/players/g/grantbr01.html","/players/j/jonesed02.html","/players/m/mournal01.html","/players/s/stricro02.html"
"8","7","D. Coleman†|†M. Harpring†|†A. Iverson†|†D. Mutombo†|†E. Snow","PHI","2001-02","31","523.3","965","961","88.3","37.5","80.5",".466","1.7","5.6",".311",".477","16.8","21.3",".789","93.6","22.2","6.4","3.9","13.9","15.3","+1.7","-2.3","+.033","-4.3","-10.5","-.064","+.007","+6.6","+7.7","+.039","+5.6","Derrick Coleman","Matt Harpring","Allen Iverson","Dikembe Mutombo","Eric Snow","/players/c/colemde01.html","/players/h/harprma01.html","/players/i/iversal01.html","/players/m/mutomdi01.html","/players/s/snower01.html"
"9","8","C. Billups†|†K. Garnett†|†R. Nesterovic†|†J. Smith†|†W. Szczerbiak","MIN","2001-02","42","479.3","901","895","89.9","39.7","79.6",".498","3.8","7.6",".500",".522","15.2","18.1",".840","98.3","26.5","5.4","5.1","16.0","17.2","+4.0","0.0","+.050","-1.9","-5.2","+.055","+.038","+2.0","+0.7","+.081","+8.1","Chauncey Billups","Kevin Garnett","Rasho Nesteroviƒá","Joe Smith","Wally Szczerbiak","/players/b/billuch01.html","/players/g/garneke01.html","/players/n/nestera01.html","/players/s/smithjo02.html","/players/s/szczewa02.html"
"10","9","M. Bibby†|†D. Christie†|†V. Divac†|†S. Pollard†|†P. Stojakovic","SAC","2001-02","33","464.3","933","928","96.2","40.5","87.5",".463","3.9","14.3",".275",".486","13.3","18.6",".717","98.3","27.0","9.1","3.8","13.2","15.1","+2.4","-0.2","+.028","-0.3","+2.4","-.081","+.026","+2.0","+2.9","-.007","+6.4","Mike Bibby","Doug Christie","Vlade Divac","Scot Pollard","Peja Stojakoviƒá","/players/b/bibbymi01.html","/players/c/chrisdo01.html","/players/d/divacvl01.html","/players/p/pollasc01.html","/players/s/stojape01.html"
"11","10","J. Foster†|†R. Miller†|†J. O'Neal†|†J. Rose†|†J. Tinsley","IND","2001-02","42","456.9","910","910","95.6","40.6","87.0",".466","4.0","11.8",".339",".489","14.5","20.0",".726","99.6","30.3","9.6","6.0","14.9","20.0","+2.2","+0.2","+.024","-0.7","-1.6","-.015","+.020","-0.8","0.0","-.042","+2.8","Jeff Foster","Reggie Miller","Jermaine O'Neal","Jalen Rose","Jamaal Tinsley","/players/f/fosteje01.html","/players/m/millere01.html","/players/o/onealje01.html","/players/r/roseja01.html","/players/t/tinslja01.html"
"12","11","S. Abdur-Rahim†|†D. Johnson†|†N. Mohammed†|†I. Newble†|†J. Terry","ATL","2001-02","33","451.0","865","871","92.4","36.3","81.2",".447","4.6","13.1",".350",".475","15.8","18.9",".831","92.9","20.9","8.7","4.8","14.8","17.9","-1.4","-1.4","-.009","+0.5","0.0","+.041","-0.006","+2.9","+1.1","+.111","+0.6","Shareef Abdur-Rahim","DerMarr Johnson","Nazr Mohammed","Ira Newble","Jason Terry","/players/a/abdursh01.html","/players/j/johnsde03.html","/players/m/mohamna01.html","/players/n/newblir01.html","/players/t/terryja01.html"
"13","12","K. Anderson†|†T. Battie†|†P. Pierce†|†A. Walker†|†E. Williams","BOS","2001-02","50","437.1","835","829","91.4","36.8","81.7",".450","7.9","19.7",".402",".499","14.7","19.9",".740","96.2","21.5","10.5","3.6","13.6","20.2","+4.9","+3.7","+.042","+2.6","+2.4","+.097","+.056","-2.2","-1.0","-.070","+10.3","Kenny Anderson","Tony Battie","Paul Pierce","Antoine Walker","Eric Williams","/players/a/anderke01.html","/players/b/battito01.html","/players/p/piercpa01.html","/players/w/walkean02.html","/players/w/willier01.html"
"14","13","K. Anderson†|†T. Battie†|†J. Johnson†|†P. Pierce†|†A. Walker","BOS","2001-02","40","436.7","842","842","92.5","36.2","86.5",".418","5.8","19.6",".298",".452","13.5","17.4",".778","91.7","22.8","10.8","4.3","12.7","21.2","+3.3","+5.9","+.010","+1.0","+3.2","+.002","+.014","-4.3","-4.7","-.027","+3.3","Kenny Anderson","Tony Battie","Joe Johnson","Paul Pierce","Antoine Walker","/players/a/anderke01.html","/players/b/battito01.html","/players/j/johnsjo02.html","/players/p/piercpa01.html","/players/w/walkean02.html"
