"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","J. Butler†|†T. Gibson†|†J. Teague†|†K. Towns†|†A. Wiggins","MIN","2017-18","48","1128.3","2229","2258","95.4","42.1","86.0",".490","7.8","20.7",".378",".535","18.2","23.2",".785","110.3","23.5","9.6","4.6","12.5","16.7","+3.6","+1.8","+.032","-2.1","-8.3","+.034","+.018","+2.1","+2.7","-.001","+7.1","Jimmy Butler","Taj Gibson","Jeff Teague","Karl-Anthony Towns","Andrew Wiggins","/players/b/butleji01.html","/players/g/gibsota01.html","/players/t/teaguje01.html","/players/t/townska01.html","/players/w/wiggian01.html"
"3","2","N. Batum†|†D. Howard†|†M. Kidd-Gilchrist†|†K. Walker†|†M. Williams","CHO","2017-18","56","1080.3","2229","2236","99.2","40.6","86.9",".467","9.2","25.1",".366",".520","19.4","26.8",".725","109.7","22.3","7.1","5.7","13.5","14.6","-1.9","-4.8","+.004","-1.3","-2.5","-.015","-0.001","+7.5","+11.6","-.059","+2.4","Nicolas Batum","Dwight Howard","Michael Kidd-Gilchrist","Kemba Walker","Marvin Williams","/players/b/batumni01.html","/players/h/howardw01.html","/players/k/kiddgmi01.html","/players/w/walkeke02.html","/players/w/willima02.html"
"4","3","O. Anunoby†|†D. DeRozan†|†S. Ibaka†|†K. Lowry†|†J. Valanciunas","TOR","2017-18","54","800.2","1627","1643","98.1","42.5","87.2",".487","12.2","31.4",".388",".557","16.1","19.8",".812","113.2","25.7","6.3","5.3","14.0","19.3","+2.2","-2.4","+.038","+3.4","+7.0","+.029","+.059","+2.3","+2.2","+.030","+10.1","OG Anunoby","DeMar DeRozan","Serge Ibaka","Kyle Lowry","Jonas Valanƒçi≈´nas","/players/a/anunoog01.html","/players/d/derozde01.html","/players/i/ibakase01.html","/players/l/lowryky01.html","/players/v/valanjo01.html"
"5","4","B. Bogdanovic†|†D. Collison†|†V. Oladipo†|†M. Turner†|†T. Young","IND","2017-18","44","692.6","1380","1371","95.3","41.1","84.0",".489","11.4","26.1",".438",".557","13.5","17.3",".780","107.2","24.9","9.8","5.9","13.2","16.3","+0.3","-1.5","+.012","-0.2","-3.3","+.042","+.012","+2.1","+2.1","+.027","+2.4","Bojan Bogdanoviƒá","Darren Collison","Victor Oladipo","Myles Turner","Thaddeus Young","/players/b/bogdabo02.html","/players/c/collida01.html","/players/o/oladivi01.html","/players/t/turnemy01.html","/players/y/youngth01.html"
"6","5","G. Antetokounmpo†|†E. Bledsoe†|†J. Henson†|†K. Middleton†|†T. Snell","MIL","2017-18","45","604.2","1212","1213","96.3","41.4","80.3",".515","8.7","20.6",".421",".569","17.8","23.1",".770","109.2","24.3","8.5","6.5","13.7","19.4","+2.1","-6.9","+.065","-1.9","-8.2","+.053","+.059","+3.4","+3.8","+.025","+5.8","Giannis Antetokounmpo","Eric Bledsoe","John Henson","Khris Middleton","Tony Snell","/players/a/antetgi01.html","/players/b/bledser01.html","/players/h/hensojo01.html","/players/m/middlkh01.html","/players/s/snellto01.html"
"7","6","R. Covington†|†J. Embiid†|†J. Redick†|†D. äaric†|†B. Simmons","PHI","2017-18","49","597.9","1240","1223","98.9","43.9","86.1",".510","12.1","29.6",".409",".580","18.1","24.2",".748","118.0","27.8","8.8","4.9","14.5","18.6","+7.9","-1.4","+.098","+3.9","+3.3","+.095","+.121","+1.9","+3.2","-.023","+21.5","Robert Covington","Joel Embiid","J.J. Redick","Dario ≈†ariƒá","Ben Simmons","/players/c/covinro01.html","/players/e/embiijo01.html","/players/r/redicjj01.html","/players/s/saricda01.html","/players/s/simmobe01.html"
"8","7","S. Adams†|†C. Anthony†|†P. George†|†A. Roberson†|†R. Westbrook","OKC","2017-18","31","536.1","1056","1059","94.7","42.8","88.3",".485","8.1","24.2",".333",".530","14.4","20.9",".691","108.1","23.5","12.5","4.2","14.9","16.6","+7.1","+8.2","+.038","-3.1","-8.9","-.005","+.014","+3.5","+5.9","-.040","+14.5","Steven Adams","Carmelo Anthony","Paul George","Andre Roberson","Russell Westbrook","/players/a/adamsst01.html","/players/a/anthoca01.html","/players/g/georgpa01.html","/players/r/roberan03.html","/players/w/westbru01.html"
"9","8","A. Aminu†|†D. Lillard†|†C. McCollum†|†J. Nurkic†|†E. Turner","POR","2017-18","41","533.1","1073","1077","96.8","40.7","90.1",".452","10.4","28.8",".359",".509","14.5","18.1",".801","106.3","23.3","7.8","6.2","12.2","18.2","+3.0","+0.5","+.031","+1.7","+3.2","+.023","+.040","-0.9","-1.0","-.006","+6.8","Al-Farouq Aminu","Damian Lillard","CJ McCollum","Jusuf Nurkiƒá","Evan Turner","/players/a/aminual01.html","/players/l/lillada01.html","/players/m/mccolcj01.html","/players/n/nurkiju01.html","/players/t/turneev01.html"
"10","9","B. Beal†|†M. Gortat†|†M. Morris†|†O. Porter†|†T. Satoransk˝","WAS","2017-18","36","525.0","1023","1017","93.3","43.3","84.4",".514","9.3","22.8",".410",".569","12.7","15.4",".827","108.7","29.7","7.1","4.5","14.4","15.9","+4.3","0.0","+.051","-0.7","-5.6","+.055","+.047","+0.5","-0.1","+.040","+8.4","Bradley Beal","Marcin Gortat","Markieff Morris","Otto Porter","Tom√°≈° Satoransk√Ω","/players/b/bealbr01.html","/players/g/gortama01.html","/players/m/morrima02.html","/players/p/porteot01.html","/players/s/satorto01.html"
"11","10","B. Beal†|†M. Gortat†|†M. Morris†|†O. Porter†|†J. Wall","WAS","2017-18","30","482.4","969","963","96.1","42.2","86.0",".491","11.0","25.9",".427",".555","14.0","17.1",".820","109.4","25.8","8.3","4.2","14.6","17.0","+3.0","-1.5","+.043","+1.3","-2.2","+.079","+.051","-0.6","-0.9","+.008","+6.7","Bradley Beal","Marcin Gortat","Markieff Morris","Otto Porter","John Wall","/players/b/bealbr01.html","/players/g/gortama01.html","/players/m/morrima02.html","/players/p/porteot01.html","/players/w/walljo01.html"
