"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"772","270","D. Davis†|†J. Foster†|†S. Jackson†|†F. Jones†|†R. Miller","IND","2004-05","3","41.2","78","77","90.2","39.6","91.9",".430","8.1","24.4",".333",".475","15.1","19.8",".765","102.4","22.1","10.5","2.3","9.3","22.1","+7.0","+23.3","-.044","+7.0","+19.8","+.083","-0.008","-7.0","-12.8","+.086","+14.0","Dale Davis","Jeff Foster","Stephen Jackson","Fred Jones","Reggie Miller","/players/d/davisda01.html","/players/f/fosteje01.html","/players/j/jacksst02.html","/players/j/jonesfr01.html","/players/m/millere01.html"
"782","271","M. Bonner†|†C. Bosh†|†D. Marshall†|†L. Murray†|†M. Palacio","TOR","2004-05","5","41.0","72","71","83.7","39.8","78.4",".507","16.4","26.9",".609",".612","11.7","16.4",".714","107.7","28.1","9.4","10.5","14.0","10.5","+7.0","+5.9","+.056","+8.2","+10.5","+.109","+.104","+8.2","+8.2","+.286","+30.4","Matt Bonner","Chris Bosh","Donyell Marshall","Lamond Murray","Milt Palacio","/players/b/bonnema01.html","/players/b/boshch01.html","/players/m/marshdo01.html","/players/m/murrala01.html","/players/p/palacmi01.html"
"792","272","A. Iverson†|†M. Jackson†|†K. Korver†|†A. McKie†|†K. Thomas","PHI","2004-05","10","40.9","80","79","93.2","36.4","84.4",".431","7.0","23.5",".300",".472","37.5","42.2",".889","117.3","22.3","4.7","3.5","8.2","23.5","+3.5","+2.3","+.031","+1.2","+3.5","+.006","+.037","+15.2","+11.7","+.158","+23.5","Allen Iverson","Marc Jackson","Kyle Korver","Aaron McKie","Kenny Thomas","/players/i/iversal01.html","/players/j/jacksma02.html","/players/k/korveky01.html","/players/m/mckieaa01.html","/players/t/thomake01.html"
"802","273","K. Cato†|†D. Christie†|†S. Francis†|†D. Howard†|†H. T¸rkoglu","ORL","2004-05","8","40.7","86","87","102.0","34.2","68.4",".500","7.1","13.0",".545",".552","35.4","42.5",".833","110.9","21.2","11.8","4.7","24.8","27.1","+1.2","-9.4","+.076","+4.7","+2.4","+.323","+.112","+1.2","-1.2","+.050","+8.3","Kelvin Cato","Doug Christie","Steve Francis","Dwight Howard","Hedo T√ºrkoƒülu","/players/c/catoke01.html","/players/c/chrisdo01.html","/players/f/francst01.html","/players/h/howardw01.html","/players/t/turkohe01.html"
"812","274","G. Arenas†|†J. Dixon†|†J. Hayes†|†A. Jamison†|†M. Ruffin","WAS","2004-05","12","40.6","79","80","94.0","41.4","85.1",".486","9.5","26.0",".364",".542","24.8","30.7",".808","117.1","22.5","10.6","1.2","10.6","23.7","+1.2","+14.2","-.081","+2.4","+4.7","+.030","-0.075","-1.2","+2.4","-.109","+3.5","Gilbert Arenas","Juan Dixon","Jarvis Hayes","Antawn Jamison","Michael Ruffin","/players/a/arenagi01.html","/players/d/dixonju01.html","/players/h/hayesja01.html","/players/j/jamisan01.html","/players/r/ruffimi01.html"
"822","275","R. Alston†|†C. Bosh†|†M. Peterson†|†J. Rose†|†E. Williams","TOR","2004-05","8","40.4","83","84","99.2","38.0","89.1",".427","5.9","19.0",".313",".460","10.7","14.3",".750","92.7","16.6","4.8","2.4","15.5","25.0","+9.5","+2.4","+.098","+4.8","+11.9","+.146","+.124","-14.3","-20.2","+.026","+9.5","Rafer Alston","Chris Bosh","Morris Peterson","Jalen Rose","Eric Williams","/players/a/alstora01.html","/players/b/boshch01.html","/players/p/petermo01.html","/players/r/roseja01.html","/players/w/willier01.html"
"832","276","M. Bibby†|†B. Miller†|†C. Mobley†|†D. Songaila†|†P. Stojakovic","SAC","2004-05","5","40.3","77","80","93.4","42.9","73.8",".581","8.3","15.5",".538",".637","16.7","22.6",".737","110.7","29.8","7.1","1.2","16.7","16.7","+1.2","-17.9","+.126","+2.4","+4.8","-.017","+.150","+4.8","+9.5","-.172","+9.5","Mike Bibby","Brad Miller","Cuttino Mobley","Darius Songaila","Peja Stojakoviƒá","/players/b/bibbymi01.html","/players/m/millebr01.html","/players/m/moblecu01.html","/players/s/songada01.html","/players/s/stojape01.html"
"842","277","A. Croshere†|†D. Harrison†|†A. Johnson†|†F. Jones†|†R. Miller","IND","2004-05","14","40.3","76","69","86.4","25.0","70.3",".356","7.1","28.6",".250",".407","14.3","20.2",".706","71.5","14.3","3.6","8.3","17.9","28.6","0.0","-3.6","+.017","+6.0","+15.5","+.159","+.060","-6.0","-9.5","+.026","0.0","Austin Croshere","David Harrison","Anthony Johnson","Fred Jones","Reggie Miller","/players/c/croshau01.html","/players/h/harrida01.html","/players/j/johnsan02.html","/players/j/jonesfr01.html","/players/m/millere01.html"
"852","278","G. Arenas†|†B. Haywood†|†L. Hughes†|†J. Jeffries†|†L. Profit","WAS","2004-05","5","39.7","78","76","93.0","39.9","76.1",".524","4.8","13.3",".364",".556","25.4","31.4",".808","109.9","19.3","13.3","7.2","18.1","20.5","+9.7","+9.7","+.069","+1.2","+4.8","-.065","+.074","+4.8","+3.6","+.069","+25.4","Gilbert Arenas","Brendan Haywood","Larry Hughes","Jared Jeffries","Laron Profit","/players/a/arenagi01.html","/players/h/haywobr01.html","/players/h/hughela01.html","/players/j/jeffrja01.html","/players/p/profila01.html"
"862","279","J. Crawford†|†J. Jackson†|†M. Rose†|†M. Taylor†|†J. Williams","NYK","2004-05","8","39.7","71","73","87.1","36.3","67.7",".536","3.6","12.1",".300",".563","13.3","27.8",".478","89.5","16.9","12.1","3.6","16.9","20.6","+6.0","-9.7","+.145","-3.6","-10.9","-.016","+.125","+4.8","+14.5","-.158","+13.3","Jamal Crawford","Jermaine Jackson","Malik Rose","Maurice Taylor","Jerome Williams","/players/c/crawfja01.html","/players/j/jacksje01.html","/players/r/rosema01.html","/players/t/tayloma01.html","/players/w/willije01.html"
"872","280","B. Cardinal†|†D. Jones†|†M. Miller†|†S. Swift†|†E. Watson","MEM","2004-05","9","39.7","82","82","99.1","32.6","68.9",".474","3.6","12.1",".300",".500","35.0","42.3",".829","103.9","16.9","8.5","4.8","16.9","32.6","+3.6","-9.7","+.104","+3.6","-1.2","+.300","+.131","0.0","-2.4","+.045","+10.9","Brian Cardinal","Dahntay Jones","Mike Miller","Stromile Swift","Earl Watson","/players/c/cardibr01.html","/players/j/jonesda02.html","/players/m/millemi01.html","/players/s/swiftst01.html","/players/w/watsoea01.html"
"902","281","R. Alston†|†C. Bosh†|†D. Marshall†|†L. Murray†|†J. Rose","TOR","2004-05","13","39.6","84","82","100.5","42.4","90.9",".467","13.3","33.9",".393",".540","18.2","21.8",".833","116.3","26.6","12.1","1.2","12.1","25.4","+14.5","+7.3","+.133","+10.9","+10.9","+.288","+.192","-1.2","-7.3","+.167","+38.8","Rafer Alston","Chris Bosh","Donyell Marshall","Lamond Murray","Jalen Rose","/players/a/alstora01.html","/players/b/boshch01.html","/players/m/marshdo01.html","/players/m/murrala01.html","/players/r/roseja01.html"
"913","282","B. Barry†|†T. Duncan†|†M. GinÛbili†|†M. Rose†|†B. Udrih","SAS","2004-05","15","39.3","72","73","88.7","37.9","77.0",".492","7.3","22.0",".333",".540","22.0","30.6",".720","105.2","23.2","8.6","4.9","15.9","25.7","+6.1","+7.3","+.036","+4.9","+14.7",".000","+.066","+1.2","+3.7","-.053","+18.3","Brent Barry","Tim Duncan","Manu Gin√≥bili","Malik Rose","Beno Udrih","/players/b/barrybr01.html","/players/d/duncati01.html","/players/g/ginobma01.html","/players/r/rosema01.html","/players/u/udrihbe01.html"
"922","283","D. Gadzuric†|†D. Mason†|†Z. Pachulia†|†M. Redd†|†M. Williams","MIL","2004-05","4","39.2","76","75","92.5","45.3","84.5",".536","1.2","3.7",".333",".543","24.5","30.6",".800","116.3","24.5","8.6","3.7","8.6","18.4","-3.7","-2.4","-.027","-4.9","-7.3","-.222","-0.055","+17.1","+19.6","+.133","+4.9","Dan Gadzuric","Desmond Mason","Zaza Pachulia","Michael Redd","Mo Williams","/players/g/gadzuda01.html","/players/m/masonde01.html","/players/p/pachuza01.html","/players/r/reddmi01.html","/players/w/willima01.html"
"932","284","A. Carter†|†E. Griffin†|†F. Hoiberg†|†M. Olowokandi†|†W. Szczerbiak","MIN","2004-05","4","39.2","68","70","84.6","35.6","74.8",".475","4.9","14.7",".333",".508","14.7","20.8",".706","90.7","27.0","6.1","20.8","14.7","20.8","+4.9","-9.8","+.113","+2.5","+7.4",".000","+.131","+3.7","+2.5","+.106","+15.9","Anthony Carter","Eddie Griffin","Fred Hoiberg","Michael Olowokandi","Wally Szczerbiak","/players/c/cartean01.html","/players/g/griffed01.html","/players/h/hoibefr01.html","/players/o/olowomi01.html","/players/s/szczewa02.html"
"942","285","R. Dupree†|†R. Hamilton†|†L. Hunter†|†A. McDyess†|†B. Wallace","DET","2004-05","15","39.2","79","76","95.0","41.7","73.5",".567","1.2","4.9",".250",".575","27.0","38.0",".710","111.5","29.4","8.6","4.9","20.8","22.1","+9.8","-4.9","+.160","-9.8","-22.1","-.159","+.098","+15.9","+18.4","+.147","+25.7","Ronald Dupree","Richard Hamilton","Lindsey Hunter","Antonio McDyess","Ben Wallace","/players/d/duprero01.html","/players/h/hamilri01.html","/players/h/hunteli01.html","/players/m/mcdyean01.html","/players/w/wallabe01.html"
"952","286","R. Buford†|†V. Carter†|†J. Kidd†|†N. Krstic†|†B. Scalabrine","NJN","2004-05","7","39.2","80","76","95.5","44.1","91.8",".480","8.6","18.4",".467",".527","25.7","26.9",".955","122.4","25.7","11.0","2.4","15.9","19.6","+8.6","+11.0","+.041","+1.2","+1.2","+.038","+.042","+8.6","+7.3","+.080","+26.9","Rodney Buford","Vince Carter","Jason Kidd","Nenad Krstiƒá","Brian Scalabrine","/players/b/buforro01.html","/players/c/cartevi01.html","/players/k/kiddja01.html","/players/k/krstine01.html","/players/s/scalabr01.html"
"962","287","O. Ekezie†|†A. Harrington†|†T. Lue†|†J. Smith†|†A. Walker","ATL","2004-05","6","39.2","72","72","88.2","31.8","77.1",".413","4.9","15.9",".308",".444","17.1","23.3",".737","85.7","17.1","3.7","7.3","14.7","17.1","-1.2","-9.8","+.032","0.0","+1.2","-.026","+.036","+6.1","+2.4","+.207","+3.7","Obinna Ekezie","Al Harrington","Tyronn Lue","Josh Smith","Antoine Walker","/players/e/ekeziob01.html","/players/h/harrial01.html","/players/l/luety01.html","/players/s/smithjo03.html","/players/w/walkean02.html"
"972","288","E. Dampier†|†M. Finley†|†D. Harris†|†D. Nowitzki†|†J. Stackhouse","DAL","2004-05","15","39.0","80","77","96.6","38.1","86.1",".443","4.9","16.0",".308",".471","18.5","20.9",".882","99.6","18.5","12.3","7.4","22.1","16.0","+3.7","+2.5","+.031","-1.2","0.0","-.077","+.023","+7.4","+6.2","+.132","+13.5","Erick Dampier","Michael Finley","Devin Harris","Dirk Nowitzki","Jerry Stackhouse","/players/d/dampier01.html","/players/f/finlemi01.html","/players/h/harride01.html","/players/n/nowitdi01.html","/players/s/stackje01.html"
"982","289","C. Anthony†|†E. Boykins†|†M. Camby†|†A. Miller†|†E. N·jera","DEN","2004-05","10","39.0","74","71","89.3","43.1","77.6",".556","0.0","6.2",".000",".556","35.7","45.6",".784","122.0","29.6","8.6","8.6","11.1","20.9","+4.9","-7.4","+.106","-3.7","-13.6","-.188","+.085","+18.5","+24.6","-.040","+24.6","Carmelo Anthony","Earl Boykins","Marcus Camby","Andre Miller","Eduardo N√°jera","/players/a/anthoca01.html","/players/b/boykiea01.html","/players/c/cambyma01.html","/players/m/millean02.html","/players/n/najered01.html"
"992","290","J. Barry†|†M. James†|†D. Mutombo†|†S. Padgett†|†D. Wesley","HOU","2004-05","12","38.9","69","70","85.7","33.3","78.9",".422","7.4","24.6",".300",".469","8.6","8.6","1.000","82.6","17.3","9.9","7.4","13.6","19.7","+17.3","+2.5","+.212","+2.5","+7.4","+.014","+.227","-2.5","-3.7","+.100","+34.5","Jon Barry","Mike James","Dikembe Mutombo","Scott Padgett","David Wesley","/players/b/barryjo01.html","/players/j/jamesmi01.html","/players/m/mutomdi01.html","/players/p/padgesc01.html","/players/w/wesleda01.html"
"1002","291","U. Haslem†|†D. Jones†|†E. Jones†|†C. Laettner†|†D. Wade","MIA","2004-05","10","38.9","76","69","89.4","45.6","80.1",".569","6.2","19.7",".313",".608","17.3","24.7",".700","114.7","25.9","9.9","3.7","17.3","19.7","+19.7","+12.3","+.187","+1.2","+3.7","+.005","+.190","-3.7","-2.5","-.073","+37.0","Udonis Haslem","Damon Jones","Eddie Jones","Christian Laettner","Dwyane Wade","/players/h/hasleud01.html","/players/j/jonesda01.html","/players/j/jonesed02.html","/players/l/laettch01.html","/players/w/wadedw01.html"
"1013","292","C. Bosh†|†D. Marshall†|†L. Murray†|†M. Palacio†|†J. Rose","TOR","2004-05","10","38.8","76","75","93.5","33.4","66.9",".500","8.7","16.1",".538",".565","30.9","39.6",".781","106.5","19.8","11.1","8.7","16.1","23.5","+1.2","-21.0","+.134","+1.2","+2.5","-.007","+.156","+13.6","+17.3","+.003","+17.3","Chris Bosh","Donyell Marshall","Lamond Murray","Milt Palacio","Jalen Rose","/players/b/boshch01.html","/players/m/marshdo01.html","/players/m/murrala01.html","/players/p/palacmi01.html","/players/r/roseja01.html"
"1022","293","J. Crawford†|†S. Marbury†|†K. Thomas†|†T. Thomas†|†J. Williams","NYK","2004-05","13","38.8","77","70","90.9","43.3","94.0",".461","4.9","16.1",".308",".487","18.5","21.0",".882","110.0","17.3","9.9","2.5","13.6","22.3","+17.3","+30.9","+.049","+1.2","+4.9","-.026","+.046","-8.7","-8.7","-.034","+27.2","Jamal Crawford","Stephon Marbury","Kurt Thomas","Tim Thomas","Jerome Williams","/players/c/crawfja01.html","/players/m/marbust01.html","/players/t/thomaku01.html","/players/t/thomati01.html","/players/w/willije01.html"
"1032","294","S. Cassell†|†K. Garnett†|†E. Griffin†|†T. Hassell†|†F. Hoiberg","MIN","2004-05","12","38.8","77","76","94.7","39.6","81.7",".485","3.7","13.6",".273",".508","21.0","26.0",".810","104.0","23.5","14.9","8.7","13.6","27.2","+9.9","+11.1","+.064","0.0","-2.5","+.042","+.060","-7.4","-14.9","+.113","+12.4","Sam Cassell","Kevin Garnett","Eddie Griffin","Trenton Hassell","Fred Hoiberg","/players/c/cassesa01.html","/players/g/garneke01.html","/players/g/griffed01.html","/players/h/hassetr01.html","/players/h/hoibefr01.html"
"1042","295","B. Cardinal†|†M. Miller†|†E. Watson†|†B. Wells†|†L. Wright","MEM","2004-05","12","38.5","66","70","84.8","31.2","72.4",".431","6.2","22.5",".278",".474","15.0","26.2",".571","83.6","15.0","15.0","1.2","8.7","20.0","+5.0","-7.5","+.103","+2.5","+6.2","+.047","+.123","0.0","-1.2","+.026","+12.5","Brian Cardinal","Mike Miller","Earl Watson","Bonzi Wells","Lorenzen Wright","/players/c/cardibr01.html","/players/m/millemi01.html","/players/w/watsoea01.html","/players/w/wellsbo01.html","/players/w/wrighlo02.html"
"1052","296","E. Boykins†|†M. Camby†|†K. Martin†|†A. Miller†|†B. Russell","DEN","2004-05","13","38.5","69","69","86.1","28.7","77.3",".371","8.7","21.2",".412",".427","21.2","23.7",".895","87.3","15.0","5.0","7.5","13.7","22.4","+8.7","+10.0","+.075","+5.0","+7.5","+.139","+.103","+5.0","-3.7","+.304","+27.4","Earl Boykins","Marcus Camby","Kenyon Martin","Andre Miller","Bryon Russell","/players/b/boykiea01.html","/players/c/cambyma01.html","/players/m/martike01.html","/players/m/millean02.html","/players/r/russebr01.html"
"1062","297","J. Johnson†|†S. Marion†|†Q. Richardson†|†A. Stoudemire†|†J. Voskuhl","PHO","2004-05","5","38.4","72","67","86.9","33.7","90.0",".375","8.7","21.2",".412",".424","23.7","28.7",".826","100.0","21.2","7.5","6.2","8.7","18.7","+10.0","+6.2","+.091","+6.2","0.0","+.294","+.125","+8.7","+7.5","+.120","+35.0","Joe Johnson","Shawn Marion","Quentin Richardson","Amar'e Stoudemire","Jake Voskuhl","/players/j/johnsjo02.html","/players/m/mariosh01.html","/players/r/richaqu01.html","/players/s/stoudam01.html","/players/v/voskuja01.html"
"1072","298","Z. Ilgauskas†|†L. James†|†I. Newble†|†E. Snow†|†A. Varej„o","CLE","2004-05","14","38.4","71","72","89.4","36.2","75.0",".483","1.2","5.0",".250",".492","13.7","21.2",".647","87.5","27.5","6.2","10.0","20.0","26.2","+7.5","-2.5","+.112","-6.2","-7.5","-.350","+.072","-5.0","-6.2","-.035","+3.7","Zydrunas Ilgauskas","LeBron James","Ira Newble","Eric Snow","Anderson Varej√£o","/players/i/ilgauzy01.html","/players/j/jamesle01.html","/players/n/newblir01.html","/players/s/snower01.html","/players/v/varejan01.html"
"1082","299","D. Miles†|†R. Patterson†|†J. Przybilla†|†D. Stoudamire†|†S. Telfair","POR","2004-05","8","38.4","78","76","96.3","41.3","85.1",".485","1.3","10.0",".125",".493","21.3","31.3",".680","105.1","22.5","11.3","10.0","15.0","20.0","+1.3","-1.3","+.022","-5.0","-8.8","-.208","-0.007","+6.3","+12.5","-.120","+3.8","Darius Miles","Ruben Patterson","Joel Przybilla","Damon Stoudamire","Sebastian Telfair","/players/m/milesda01.html","/players/p/patteru01.html","/players/p/przybjo01.html","/players/s/stoudda01.html","/players/t/telfase01.html"
"1092","300","E. Brand†|†R. Brunson†|†C. Maggette†|†Q. Ross†|†B. Simmons","LAC","2004-05","7","38.3","85","85","106.5","45.1","85.2",".529","2.5","8.8",".286",".544","30.1","35.1",".857","122.8","28.8","7.5","7.5","20.0","22.5","+3.8","-8.8","+.089","-7.5","-25.1","-.011","+.051","+3.8","+7.5","-.097","+3.8","Elton Brand","Rick Brunson","Corey Maggette","Quinton Ross","Bobby Simmons","/players/b/brandel01.html","/players/b/brunsri01.html","/players/m/maggeco01.html","/players/r/rossqu01.html","/players/s/simmobo01.html"
"210","301","T. Ariza†|†A. Hardaway†|†S. Marbury†|†M. Sweetney†|†J. Williams","NYK","2004-05","13","38.2","75","67","89.2","43.9","79.1",".556","8.8","15.1",".583",".611","26.4","37.7",".700","123.1","26.4","6.3","5.0","8.8","20.1","+7.5","+5.0","+.064","+1.3","-1.3","+.122","+.069","+16.3","+26.4","-.189","+32.6","Trevor Ariza","Anfernee Hardaway","Stephon Marbury","Mike Sweetney","Jerome Williams","/players/a/arizatr01.html","/players/h/hardaan01.html","/players/m/marbust01.html","/players/s/sweetmi01.html","/players/w/willije01.html"
"314","302","B. Barry†|†M. GinÛbili†|†R. Nesterovic†|†T. Parker†|†M. Rose","SAS","2004-05","17","38.2","85","77","101.8","31.4","85.5",".368","6.3","28.9",".217",".404","25.1","35.2",".714","94.2","23.9","6.3","8.8","23.9","20.1","0.0","-2.5","+.011","-1.3","+11.3","-.211","+.004","+8.8","+15.1","-.098","+7.5","Brent Barry","Manu Gin√≥bili","Rasho Nesteroviƒá","Tony Parker","Malik Rose","/players/b/barrybr01.html","/players/g/ginobma01.html","/players/n/nestera01.html","/players/p/parketo01.html","/players/r/rosema01.html"
"410","303","A. Iguodala†|†A. Iverson†|†K. Korver†|†R. Rogers†|†C. Webber","PHI","2004-05","11","38.1","84","83","105.1","44.1","96.9",".455","3.8","20.1",".188",".474","30.2","36.5",".828","122.1","22.7","13.8","7.6","7.6","30.2","+16.4","+18.9","+.100","-3.8","-3.8","-.128","+.071","-8.8","-6.3","-.084","+20.1","Andre Iguodala","Allen Iverson","Kyle Korver","Rodney Rogers","Chris Webber","/players/i/iguodan01.html","/players/i/iversal01.html","/players/k/korveky01.html","/players/r/rogerro01.html","/players/w/webbech01.html"
"514","304","S. Dalembert†|†A. Iguodala†|†A. Iverson†|†M. Jackson†|†A. McKie","PHI","2004-05","10","37.9","72","80","96.4","34.2","83.7",".409","5.1","12.7",".400",".439","20.3","25.4",".800","93.8","19.0","10.1","3.8","17.8","21.6","+2.5","+2.5","+.018","0.0","-2.5","+.067","+.018","-2.5","-3.8","+.017","+2.5","Samuel Dalembert","Andre Iguodala","Allen Iverson","Marc Jackson","Aaron McKie","/players/d/dalemsa01.html","/players/i/iguodan01.html","/players/i/iversal01.html","/players/j/jacksma02.html","/players/m/mckieaa01.html"
"610","305","S. Claxton†|†D. Davis†|†M. Dunleavy†|†T. Murphy†|†J. Richardson","GSW","2004-05","7","37.6","77","76","97.8","40.9","81.8",".500","5.1","11.5",".444",".531","19.2","24.3",".789","106.1","24.3","8.9","2.6","16.6","23.0","+3.8","+5.1","+.017","+3.8","+3.8","+.278","+.040","-5.1","-3.8","-.074","+6.4","Speedy Claxton","Dale Davis","Mike Dunleavy","Troy Murphy","Jason Richardson","/players/c/claxtsp01.html","/players/d/davisda01.html","/players/d/dunlemi02.html","/players/m/murphtr01.html","/players/r/richaja01.html"
"714","306","C. Bosh†|†D. Marshall†|†L. Murray†|†M. Palacio†|†M. Peterson","TOR","2004-05","10","37.3","70","69","89.4","38.6","86.2",".448","10.3","25.7",".400",".507","16.7","28.3",".591","104.2","19.3","6.4","7.7","5.1","15.4","+9.0","+5.1","+.083","+5.1","+9.0","+.092","+.111","+2.6","+10.3","-.195","+25.7","Chris Bosh","Donyell Marshall","Lamond Murray","Milt Palacio","Morris Peterson","/players/b/boshch01.html","/players/m/marshdo01.html","/players/m/murrala01.html","/players/p/palacmi01.html","/players/p/petermo01.html"
"810","307","A. Carter†|†N. Ebi†|†E. Griffin†|†W. Szczerbiak†|†J. Thomas","MIN","2004-05","2","37.2","67","68","87.1","34.8","81.3",".429","2.6","12.9",".200",".444","29.7","37.4",".793","101.9","18.1","5.2","10.3","7.7","14.2","+6.5","0.0","+.079","-1.3","-3.9","-.031","+.071","+18.1","+20.6","+.101","+29.7","Anthony Carter","Ndudi Ebi","Eddie Griffin","Wally Szczerbiak","John Thomas","/players/c/cartean01.html","/players/e/ebind01.html","/players/g/griffed01.html","/players/s/szczewa02.html","/players/t/thomajo02.html"
"914","308","C. Atkins†|†K. Bryant†|†C. Butler†|†B. Grant†|†C. Mihm","LAL","2004-05","5","36.9","78","79","102.1","28.6","71.6",".400","10.4","28.6",".364",".473","26.0","31.2",".833","93.7","14.3","7.8","3.9","24.7","22.1","-2.6","-13.0","+.031","+7.8","+13.0","+.197","+.088","+3.9","-1.3","+.153","+6.5","Chucky Atkins","Kobe Bryant","Caron Butler","Brian Grant","Chris Mihm","/players/a/atkinch01.html","/players/b/bryanko01.html","/players/b/butleca01.html","/players/g/grantbr01.html","/players/m/mihmch01.html"
"1014","309","S. Battier†|†P. Gasol†|†M. Miller†|†B. Wells†|†J. Williams","MEM","2004-05","8","36.9","71","65","88.5","36.4","82.0",".444","10.4","35.1",".296",".508","16.9","22.1",".765","100.2","23.4","5.2","3.9","10.4","22.1","+1.3","+6.5","-.021","+6.5","+20.8","+.024","+.017","-3.9","-2.6","-.077","+5.2","Shane Battier","Pau Gasol","Mike Miller","Bonzi Wells","Jason Williams","/players/b/battish01.html","/players/g/gasolpa01.html","/players/m/millemi01.html","/players/w/wellsbo01.html","/players/w/willija02.html"
"113","310","A. Iverson†|†M. Jackson†|†K. Korver†|†A. McKie†|†C. Williamson","PHI","2004-05","13","36.9","80","75","100.9","40.4","87.2",".463","9.1","22.1",".412",".515","14.3","16.9",".846","104.1","28.6","7.8","0.0","19.5","22.1","+6.5","+14.3","-.002","+1.3","+2.6","+.012","-0.003","-10.4","-15.6","+.086","+3.9","Allen Iverson","Marc Jackson","Kyle Korver","Aaron McKie","Corliss Williamson","/players/i/iversal01.html","/players/j/jacksma02.html","/players/k/korveky01.html","/players/m/mckieaa01.html","/players/w/willico02.html"
"123","311","B. Barry†|†M. GinÛbili†|†R. Horry†|†R. Nesterovic†|†T. Parker","SAS","2004-05","16","36.9","77","76","99.5","44.2","76.8",".576","11.7","29.9",".391",".653","32.5","48.1",".676","132.7","26.0","11.7","7.8","11.7","11.7","+5.2","-5.2","+.100","+7.8","+22.1","-.109","+.153","+19.5","+31.2","-.094","+37.7","Brent Barry","Manu Gin√≥bili","Robert Horry","Rasho Nesteroviƒá","Tony Parker","/players/b/barrybr01.html","/players/g/ginobma01.html","/players/h/horryro01.html","/players/n/nestera01.html","/players/p/parketo01.html"
"133","312","S. Dalembert†|†A. Iguodala†|†A. Iverson†|†A. McKie†|†C. Webber","PHI","2004-05","12","36.8","72","75","95.8","40.4","73.0",".554","6.5","10.4",".625",".598","26.1","36.5",".714","113.4","26.1","14.3","5.2","15.6","18.2","0.0","-7.8","+.054","-1.3","-10.4","+.250","+.050","+14.3","+16.9","+.114","+13.0","Samuel Dalembert","Andre Iguodala","Allen Iverson","Aaron McKie","Chris Webber","/players/d/dalemsa01.html","/players/i/iguodan01.html","/players/i/iversal01.html","/players/m/mckieaa01.html","/players/w/webbech01.html"
"143","313","M. World Peace†|†A. Croshere†|†S. Jackson†|†S. Pollard†|†J. Tinsley","IND","2004-05","2","36.6","68","67","88.6","32.8","76.1",".431","5.2","15.7",".333",".466","11.8","17.1",".692","82.7","19.7","5.2","5.2","14.4","24.9","+3.9","+1.3","+.045","+5.2","+10.5","+.333","+.080","-7.9","-9.2","-.058","+5.2","Metta World Peace","Austin Croshere","Stephen Jackson","Scot Pollard","Jamaal Tinsley","/players/a/artesro01.html","/players/c/croshau01.html","/players/j/jacksst02.html","/players/p/pollasc01.html","/players/t/tinslja01.html"
"153","314","H. Eisley†|†G. Giricek†|†M. Harpring†|†A. Kirilenko†|†M. Okur","UTA","2004-05","11","36.6","63","63","82.7","34.1","61.7",".553","3.9","10.5",".375",".585","28.9","36.8",".786","101.1","31.5","10.5","14.4","15.8","23.6","+5.3","-18.4","+.193","-1.3","-3.9","+.011","+.192","+10.5","+14.4","-.038","+19.7","Howard Eisley","Gordan Giriƒçek","Matt Harpring","Andrei Kirilenko","Mehmet Okur","/players/e/eisleho01.html","/players/g/giricgo01.html","/players/h/harprma01.html","/players/k/kirilan01.html","/players/o/okurme01.html"
"163","315","R. Bell†|†C. Boozer†|†H. Eisley†|†M. Harpring†|†A. Kirilenko","UTA","2004-05","12","36.5","69","68","90.1","35.5","80.2",".443","5.3","13.1",".400",".475","27.6","34.2",".808","103.9","26.3","6.6","5.3","14.5","23.7","+2.6","+11.8","-.038","0.0","+2.6","-.100","-0.044","+7.9","+6.6","+.093","+13.1","Raja Bell","Carlos Boozer","Howard Eisley","Matt Harpring","Andrei Kirilenko","/players/b/bellra01.html","/players/b/boozeca01.html","/players/e/eisleho01.html","/players/h/harprma01.html","/players/k/kirilan01.html"
"173","316","S. Anderson†|†K. Dooling†|†E. Jones†|†C. Laettner†|†S. O'Neal","MIA","2004-05","11","36.4","71","68","91.7","42.2","81.8",".516","5.3","14.5",".364",".548","25.1","42.2",".594","114.8","25.1","6.6","2.6","9.2","27.7","+14.5","+9.2","+.134","-2.6","0.0","-.182","+.112","+1.3","+9.2","-.126","+27.7","Shandon Anderson","Keyon Dooling","Eddie Jones","Christian Laettner","Shaquille O'Neal","/players/a/andersh01.html","/players/d/doolike01.html","/players/j/jonesed02.html","/players/l/laettch01.html","/players/o/onealsh01.html"
