"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"13","12","V. Carter†|†J. Collins†|†J. Kidd†|†N. Krstic†|†J. Vaughn","NJN","2004-05","29","409.8","754","753","88.3","37.5","79.1",".474","4.6","11.8",".386",".503","14.8","19.1",".773","94.3","26.1","8.1","2.8","12.4","20.6","+3.6","+2.6","+.032","+0.8","+1.9","+.010","+.036","+2.3","+1.6","+.062","+10.4","Vince Carter","Jason Collins","Jason Kidd","Nenad Krstiƒá","Jacque Vaughn","/players/c/cartevi01.html","/players/c/collija04.html","/players/k/kiddja01.html","/players/k/krstine01.html","/players/v/vaughja01.html"
"14","13","E. Dampier†|†M. Finley†|†J. Howard†|†D. Nowitzki†|†J. Terry","DAL","2004-05","33","409.4","785","771","91.2","42.8","81.8",".523","6.3","13.0",".486",".562","17.9","24.0",".746","109.9","24.4","8.1","5.9","12.3","19.2","+7.3","-0.6","+.092","0.0","-4.8","+.131","+.092","+4.2","+5.5","+.006","+18.8","Erick Dampier","Michael Finley","Josh Howard","Dirk Nowitzki","Jason Terry","/players/d/dampier01.html","/players/f/finlemi01.html","/players/h/howarjo01.html","/players/n/nowitdi01.html","/players/t/terryja01.html"
"15","14","C. Anthony†|†G. Buckner†|†M. Camby†|†K. Martin†|†A. Miller","DEN","2004-05","36","402.9","763","766","91.1","38.1","78.5",".486","2.0","5.8",".347",".498","15.7","21.2",".742","94.0","26.0","8.5","6.8","16.0","18.8","+2.0","-3.1","+.043","-3.6","-8.3","-.048","+.022","+1.4","+1.8","+.005","+1.9","Carmelo Anthony","Greg Buckner","Marcus Camby","Kenyon Martin","Andre Miller","/players/a/anthoca01.html","/players/b/buckngr01.html","/players/c/cambyma01.html","/players/m/martike01.html","/players/m/millean02.html"
"16","15","E. Curry†|†A. Davis†|†L. Deng†|†C. Duhon†|†K. Hinrich","CHI","2004-05","34","362.7","673","670","88.9","36.5","79.9",".457","6.0","16.8",".354",".494","11.9","15.8",".756","90.9","27.0","7.3","4.5","15.4","20.9","+3.7","-1.1","+.052","+1.9","+5.8","-.019","+.064","-0.8","-1.5","+.018","+8.5","Eddy Curry","Antonio Davis","Luol Deng","Chris Duhon","Kirk Hinrich","/players/c/curryed01.html","/players/d/davisan01.html","/players/d/denglu01.html","/players/d/duhonch01.html","/players/h/hinriki01.html"
"17","16","S. Abdur-Rahim†|†D. Anderson†|†Z. Randolph†|†T. Ratliff†|†D. Stoudamire","POR","2004-05","20","345.3","615","611","85.2","35.9","82.7",".434","4.7","12.9",".366",".462","12.9","16.3",".795","89.4","20.7","5.6","6.0","12.2","16.3","-1.3","+2.4","-.028","+0.6","+0.3","+.036","-0.026","+3.1","+2.4","+.085","+1.1","Shareef Abdur-Rahim","Derek Anderson","Zach Randolph","Theo Ratliff","Damon Stoudamire","/players/a/abdursh01.html","/players/a/anderde01.html","/players/r/randoza01.html","/players/r/ratlith01.html","/players/s/stoudda01.html"
"18","17","S. Dalembert†|†A. Iguodala†|†A. Iverson†|†K. Korver†|†C. Webber","PHI","2004-05","21","334.4","682","681","97.8","41.9","85.1",".492","6.9","17.8",".387",".533","13.2","17.4",".760","103.9","25.3","10.8","6.6","15.6","20.2","+3.4","-1.4","+.048","+1.1","+3.3","-.009","+.055","-3.2","-6.2","+.065","+4.9","Samuel Dalembert","Andre Iguodala","Allen Iverson","Kyle Korver","Chris Webber","/players/d/dalemsa01.html","/players/i/iguodan01.html","/players/i/iversal01.html","/players/k/korveky01.html","/players/w/webbech01.html"
"19","18","S. Battier†|†P. Gasol†|†M. Miller†|†J. Williams†|†L. Wright","MEM","2004-05","25","280.7","513","508","87.3","39.2","79.0",".496","5.3","17.1",".310",".529","16.4","21.7",".756","100.0","24.5","7.4","7.2","12.1","16.1","+3.8","-1.9","+.058","+1.9","+5.8","+.007","+.070","+2.9","+4.6","-.034","+12.3","Shane Battier","Pau Gasol","Mike Miller","Jason Williams","Lorenzen Wright","/players/b/battish01.html","/players/g/gasolpa01.html","/players/m/millemi01.html","/players/w/willija02.html","/players/w/wrighlo02.html"
"20","19","R. Alston†|†C. Bosh†|†D. Marshall†|†M. Peterson†|†J. Rose","TOR","2004-05","47","276.5","546","543","94.5","37.3","78.8",".474","10.8","24.8",".434",".542","27.1","34.4",".788","112.5","21.2","7.1","2.8","11.6","18.4","-3.0","-7.5","+.007","+4.9","+8.3","+.076","+.041","+9.4","+10.4","+.049","+8.3","Rafer Alston","Chris Bosh","Donyell Marshall","Morris Peterson","Jalen Rose","/players/a/alstora01.html","/players/b/boshch01.html","/players/m/marshdo01.html","/players/p/petermo01.html","/players/r/roseja01.html"
"21","20","D. Gooden†|†Z. Ilgauskas†|†L. James†|†I. Newble†|†E. Snow","CLE","2004-05","24","260.6","481","472","87.8","38.5","81.6",".472","3.7","8.1",".455",".494","13.6","18.2",".747","94.3","24.5","7.6","6.4","11.8","17.7","+1.3","+1.5","+.007","-1.7","-5.9","+.073","-0.003","+1.8","+3.3","-.043","+2.8","Drew Gooden","Zydrunas Ilgauskas","LeBron James","Ira Newble","Eric Snow","/players/g/goodedr01.html","/players/i/ilgauzy01.html","/players/j/jamesle01.html","/players/n/newblir01.html","/players/s/snower01.html"
"24","21","G. Arenas†|†J. Hayes†|†B. Haywood†|†A. Jamison†|†J. Jeffries","WAS","2004-05","17","260.0","506","504","93.2","37.5","83.4",".449","5.9","14.8",".400",".485","21.0","28.8",".731","101.9","21.6","8.7","5.0","14.0","19.2","+0.7","+0.4","+.007","+0.2","-0.6","+.027","+.008","+9.2","+12.7","-.005","+10.9","Gilbert Arenas","Jarvis Hayes","Brendan Haywood","Antawn Jamison","Jared Jeffries","/players/a/arenagi01.html","/players/h/hayesja01.html","/players/h/haywobr01.html","/players/j/jamisan01.html","/players/j/jeffrja01.html"
"25","22","E. Brand†|†M. Jaric†|†C. Maggette†|†B. Simmons†|†C. Wilcox","LAC","2004-05","18","250.5","476","472","90.8","38.3","78.2",".490","2.3","7.7",".300",".505","16.5","21.6",".761","95.4","25.3","7.1","3.6","15.5","19.4","+1.7","-2.7","+.038","-3.8","-8.4","-.081","+.014","+2.9","+3.8","-.002","+2.5","Elton Brand","Marko Jariƒá","Corey Maggette","Bobby Simmons","Chris Wilcox","/players/b/brandel01.html","/players/j/jaricma01.html","/players/m/maggeco01.html","/players/s/simmobo01.html","/players/w/wilcoch01.html"
"26","23","S. Battier†|†B. Cardinal†|†M. Miller†|†J. Williams†|†L. Wright","MEM","2004-05","23","243.6","460","455","90.1","35.9","77.8",".461","7.5","20.5",".365",".509","17.3","22.1",".786","96.5","21.9","8.3","3.0","14.8","19.1","+1.4","+0.4","+.015","+3.3","+6.1","+.078","+.037","0.0","-1.2","+.040","+6.1","Shane Battier","Brian Cardinal","Mike Miller","Jason Williams","Lorenzen Wright","/players/b/battish01.html","/players/c/cardibr01.html","/players/m/millemi01.html","/players/w/willija02.html","/players/w/wrighlo02.html"
"27","24","R. Patterson†|†J. Przybilla†|†T. Ratliff†|†D. Stoudamire†|†N. Van Exel","POR","2004-05","16","231.6","426","430","88.7","40.4","83.9",".481","6.8","17.6",".388",".522","6.0","10.6",".569","93.7","23.8","7.0","5.8","15.5","11.4","+3.7","-2.3","+.056","+3.1","+4.6","+.103","+.075","-2.5","+0.4","-.268","+8.1","Ruben Patterson","Joel Przybilla","Theo Ratliff","Damon Stoudamire","Nick Van Exel","/players/p/patteru01.html","/players/p/przybjo01.html","/players/r/ratlith01.html","/players/s/stoudda01.html","/players/v/vanexni01.html"
