"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","M. Conley†|†M. Gasol†|†R. Gay†|†O. Mayo†|†Z. Randolph","MEM","2009-10","65","1473.6","2824","2781","91.3","40.9","83.1",".492","5.0","13.1",".387",".523","18.8","25.0",".752","105.6","20.0","7.9","4.4","13.3","17.9","+1.4","+1.9","+.005","-1.1","-4.0","+.026","-0.002","+5.7","+7.4","+.011","+7.4","Mike Conley","Marc Gasol","Rudy Gay","O.J. Mayo","Zach Randolph","/players/c/conlemi01.html","/players/g/gasolma01.html","/players/g/gayru01.html","/players/m/mayooj01.html","/players/r/randoza01.html"
"3","2","K. Durant†|†J. Green†|†N. Krstic†|†T. Sefolosha†|†R. Westbrook","OKC","2009-10","76","1307.6","2558","2546","93.7","39.4","83.8",".470","4.7","13.5",".351",".498","18.1","22.1",".819","101.7","22.2","8.9","4.7","13.5","17.2","-0.4","-1.1","+.001","-1.0","-1.5","-.028","-0.004","+3.5","+3.0","+.052","+1.7","Kevin Durant","Jeff Green","Nenad Krstiƒá","Thabo Sefolosha","Russell Westbrook","/players/d/duranke01.html","/players/g/greenje02.html","/players/k/krstine01.html","/players/s/sefolth01.html","/players/w/westbru01.html"
"4","3","R. Allen†|†K. Garnett†|†K. Perkins†|†P. Pierce†|†R. Rondo","BOS","2009-10","57","1179.2","2256","2250","91.7","40.7","76.8",".530","5.1","13.3",".383",".563","17.8","22.7",".786","104.2","26.4","7.6","5.4","14.9","20.1","+5.3","-3.5","+.089","+0.3","-1.5","+.060","+.092","+1.2","+0.4","+.040","+12.1","Ray Allen","Kevin Garnett","Kendrick Perkins","Paul Pierce","Rajon Rondo","/players/a/allenra02.html","/players/g/garneke01.html","/players/p/perkike01.html","/players/p/piercpa01.html","/players/r/rondora01.html"
"5","4","M. Bibby†|†A. Horford†|†J. Johnson†|†J. Smith†|†M. Williams","ATL","2009-10","75","1171.1","2149","2151","88.1","38.9","82.3",".473","5.4","15.0",".360",".505","13.4","18.3",".732","96.6","25.3","7.7","4.9","10.9","14.5","+1.4","+1.6","+.008","-0.7","-1.3","-.017","+.003","+3.1","+4.5","-.016","+5.2","Mike Bibby","Al Horford","Joe Johnson","Josh Smith","Marvin Williams","/players/b/bibbymi01.html","/players/h/horfoal01.html","/players/j/johnsjo02.html","/players/s/smithjo03.html","/players/w/willima02.html"
"6","5","C. Frye†|†G. Hill†|†S. Nash†|†J. Richardson†|†A. Stoudemire","PHO","2009-10","65","828.6","1680","1652","96.5","42.9","84.5",".507","9.8","23.5",".417",".565","19.9","23.9",".833","115.4","26.1","4.8","4.1","13.6","18.2","+0.9","-7.8","+.053","+2.3","+2.4","+.063","+.070","+4.6","+3.2","+.094","+8.8","Channing Frye","Grant Hill","Steve Nash","Jason Richardson","Amar'e Stoudemire","/players/f/fryech01.html","/players/h/hillgr01.html","/players/n/nashst01.html","/players/r/richaja01.html","/players/s/stoudam01.html"
"7","6","M. Barnes†|†V. Carter†|†D. Howard†|†R. Lewis†|†J. Nelson","ORL","2009-10","49","772.7","1447","1436","89.5","38.8","76.3",".508","10.7","24.8",".433",".578","16.0","22.7",".702","104.2","22.3","6.8","6.0","14.4","18.0","+4.2","-4.2","+.079","+4.7","+8.1","+.073","+.112","+2.5","+5.2","-.065","+15.7","Matt Barnes","Vince Carter","Dwight Howard","Rashard Lewis","Jameer Nelson","/players/b/barnema02.html","/players/c/cartevi01.html","/players/h/howardw01.html","/players/l/lewisra02.html","/players/n/nelsoja01.html"
"8","7","M. World Peace†|†K. Bryant†|†A. Bynum†|†D. Fisher†|†P. Gasol","LAL","2009-10","42","668.3","1274","1277","91.6","41.6","83.8",".496","5.6","15.8",".355",".530","17.0","22.2",".764","105.7","23.6","8.0","5.2","12.7","17.3","+4.3","+0.4","+.050","-0.4","-0.9","-.002","+.047","+3.2","+3.5","+.025","+11.4","Metta World Peace","Kobe Bryant","Andrew Bynum","Derek Fisher","Pau Gasol","/players/a/artesro01.html","/players/b/bryanko01.html","/players/b/bynuman01.html","/players/f/fishede01.html","/players/g/gasolpa01.html"
"9","8","A. Afflalo†|†C. Anthony†|†C. Billups†|†N. Hil·rio†|†K. Martin","DEN","2009-10","37","536.6","1069","1065","95.5","37.1","82.4",".451","6.4","16.6",".382",".489","24.3","29.3",".832","104.9","22.9","8.1","4.6","13.2","20.1","-0.3","-2.1","+.008","+1.4","+0.3","+.081","+.017","+6.4","+6.3","+.054","+7.3","Arron Afflalo","Carmelo Anthony","Chauncey Billups","Nen√™ Hil√°rio","Kenyon Martin","/players/a/afflaar01.html","/players/a/anthoca01.html","/players/b/billuch01.html","/players/h/hilarne01.html","/players/m/martike01.html"
"10","9","D. Brown†|†E. Okafor†|†C. Paul†|†P. Stojakovic†|†D. West","NOH","2009-10","28","496.7","955","952","92.1","39.4","85.3",".462","7.6","20.2",".378",".507","12.9","17.4",".739","99.3","22.7","7.1","4.2","11.0","15.0","-0.1","+1.4","-.009","+2.7","+5.9","+.033","+.006","+0.3","+1.3","-.040","+2.8","Devin Brown","Emeka Okafor","Chris Paul","Peja Stojakoviƒá","David West","/players/b/brownde02.html","/players/o/okafoem01.html","/players/p/paulch01.html","/players/s/stojape01.html","/players/w/westda01.html"
"11","10","G. Hill†|†R. Lopez†|†S. Nash†|†J. Richardson†|†A. Stoudemire","PHO","2009-10","33","452.5","910","922","97.2","43.8","84.8",".517","4.7","12.1",".386",".544","19.0","23.8",".799","111.3","23.2","3.6","5.5","16.1","19.1","+2.4","-6.4","+.063","-1.6","-5.3","+.026","+.056","-0.6","-1.6","+.025","+2.7","Grant Hill","Robin Lopez","Steve Nash","Jason Richardson","Amar'e Stoudemire","/players/h/hillgr01.html","/players/l/lopezro01.html","/players/n/nashst01.html","/players/r/richaja01.html","/players/s/stoudam01.html"
