"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","B. Beal†|†M. Gortat†|†M. Morris†|†O. Porter†|†J. Wall","WAS","2016-17","69","1345.2","2730","2714","97.1","43.6","88.3",".494","10.1","24.9",".403",".551","14.6","19.1",".763","111.8","26.9","9.2","3.4","13.0","17.5","+4.1","+4.1","+.024","+0.5","-1.6","+.045","+.025","-0.4","-1.0","+.020","+8.3","Bradley Beal","Marcin Gortat","Markieff Morris","Otto Porter","John Wall","/players/b/bealbr01.html","/players/g/gortama01.html","/players/m/morrima02.html","/players/p/porteot01.html","/players/w/walljo01.html"
"3","2","B. Griffin†|†D. Jordan†|†L. Mbah a Moute†|†C. Paul†|†J. Redick","LAC","2016-17","46","869.4","1709","1715","94.5","41.2","80.3",".513","9.6","21.7",".440",".573","19.9","27.5",".723","111.8","26.9","9.4","5.0","13.0","15.6","+3.5","-6.5","+.078","-0.4","-2.9","+.037","+.081","+7.2","+11.2","-.054","+13.7","Blake Griffin","DeAndre Jordan","Luc Mbah a Moute","Chris Paul","J.J. Redick","/players/g/griffbl01.html","/players/j/jordade01.html","/players/m/mbahalu01.html","/players/p/paulch01.html","/players/r/redicjj01.html"
"4","3","N. Batum†|†M. Kidd-Gilchrist†|†K. Walker†|†M. Williams†|†C. Zeller","CHO","2016-17","47","781.8","1544","1563","95.4","38.3","84.9",".452","9.5","27.0",".353",".508","18.4","22.7",".810","104.5","25.1","9.0","4.8","11.8","13.1","-0.1","-0.1",".000","-2.5","-5.0","-.023","-0.015","+7.7","+9.0","+.031","+5.1","Nicolas Batum","Michael Kidd-Gilchrist","Kemba Walker","Marvin Williams","Cody Zeller","/players/b/batumni01.html","/players/k/kiddgmi01.html","/players/w/walkeke02.html","/players/w/willima02.html","/players/z/zelleco01.html"
"5","4","S. Adams†|†V. Oladipo†|†A. Roberson†|†D. Sabonis†|†R. Westbrook","OKC","2016-17","52","629.3","1254","1256","95.7","40.3","85.7",".470","6.9","22.7",".302",".510","13.2","19.2",".687","100.6","21.5","8.3","5.0","15.3","18.3","+2.6","-2.0","+.040","-1.8","-2.1","-.048","+.031","0.0","+1.3","-.050","+3.4","Steven Adams","Victor Oladipo","Andre Roberson","Domantas Sabonis","Russell Westbrook","/players/a/adamsst01.html","/players/o/oladivi01.html","/players/r/roberan03.html","/players/s/sabondo01.html","/players/w/westbru01.html"
"6","5","G. Dieng†|†R. Rubio†|†B. Rush†|†K. Towns†|†A. Wiggins","MIN","2016-17","38","594.3","1175","1169","94.7","41.0","82.6",".496","6.8","17.6",".385",".537","18.3","21.9",".834","106.9","25.4","6.6","4.3","14.3","16.4","+0.2","-3.9","+.024","-3.0","-10.8","+.042","+.009","+4.5","+4.4","+.051","+1.9","Gorgui Dieng","Ricky Rubio","Brandon Rush","Karl-Anthony Towns","Andrew Wiggins","/players/d/dienggo01.html","/players/r/rubiori01.html","/players/r/rushbr01.html","/players/t/townska01.html","/players/w/wiggian01.html"
"7","6","S. Curry†|†K. Durant†|†D. Green†|†Z. Pachulia†|†K. Thompson","GSW","2016-17","43","531.3","1119","1118","101.1","46.4","89.1",".521","15.1","34.4",".438",".606","16.9","20.1",".839","124.9","36.0","10.8","5.5","15.1","15.7","+6.7","-0.5","+.078","+5.6","+5.4","+.111","+.110","+5.1","+4.3","+.090","+24.0","Stephen Curry","Kevin Durant","Draymond Green","Zaza Pachulia","Klay Thompson","/players/c/curryst01.html","/players/d/duranke01.html","/players/g/greendr01.html","/players/p/pachuza01.html","/players/t/thompkl01.html"
"8","7","R. Anderson†|†T. Ariza†|†P. Beverley†|†C. Capela†|†J. Harden","HOU","2016-17","42","504.4","1036","1019","97.8","44.1","88.6",".497","17.3","43.5",".398",".595","19.3","25.7",".752","124.8","29.5","9.0","3.3","13.5","17.1","+1.9","+4.2","-.002","+7.5","+17.8","+.017","+.038","+7.1","+10.3","-.038","+18.5","Ryan Anderson","Trevor Ariza","Patrick Beverley","Clint Capela","James Harden","/players/a/anderry01.html","/players/a/arizatr01.html","/players/b/beverpa01.html","/players/c/capelca01.html","/players/h/hardeja01.html"
"9","8","K. Irving†|†L. James†|†K. Love†|†J. Smith†|†T. Thompson","CLE","2016-17","27","453.3","911","912","96.5","43.5","89.0",".489","14.4","32.7",".440",".570","15.4","20.3",".755","116.8","27.2","7.7","4.3","12.7","15.9","-1.2","-1.7","-.004","+4.4","+5.9","+.069","+.022","+3.9","+5.1","+.005","+6.0","Kyrie Irving","LeBron James","Kevin Love","J.R. Smith","Tristan Thompson","/players/i/irvinky01.html","/players/j/jamesle01.html","/players/l/loveke01.html","/players/s/smithjr01.html","/players/t/thomptr01.html"
"10","9","P. George†|†C. Miles†|†J. Teague†|†M. Turner†|†T. Young","IND","2016-17","44","443.1","873","879","94.9","40.1","82.7",".485","10.4","25.9",".402",".548","17.2","20.6",".837","107.8","25.0","8.9","4.9","13.2","19.3","+3.6","-0.1","+.044","+0.9","-2.4","+.065","+.049","-1.9","-3.7","+.047","+6.1","Paul George","C.J. Miles","Jeff Teague","Myles Turner","Thaddeus Young","/players/g/georgpa01.html","/players/m/milescj01.html","/players/t/teaguje01.html","/players/t/turnemy01.html","/players/y/youngth01.html"
"11","10","A. Bradley†|†J. Crowder†|†A. Horford†|†A. Johnson†|†I. Thomas","BOS","2016-17","36","432.6","853","852","94.6","42.8","87.4",".490","14.5","34.6",".420",".573","9.8","12.1",".807","110.0","28.4","7.5","5.7","12.3","18.2","+2.9","-1.1","+.039","+5.8","+8.5","+.084","+.072","-5.2","-7.1","+.027","+6.3","Avery Bradley","Jae Crowder","Al Horford","Amir Johnson","Isaiah Thomas","/players/b/bradlav01.html","/players/c/crowdja01.html","/players/h/horfoal01.html","/players/j/johnsam01.html","/players/t/thomais02.html"
