"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","P. George†|†R. Hibbert†|†G. Hill†|†L. Stephenson†|†D. West","IND","2013-14","73","1466.8","2788","2775","91.0","37.3","79.3",".471","6.5","17.2",".379",".512","17.0","21.3",".797","98.1","21.9","6.3","6.3","14.5","18.5","+2.8","-4.7","+.060","+0.5","-1.3","+.053","+.066","+2.5","+2.0","+.049","+8.7","Paul George","Roy Hibbert","George Hill","Lance Stephenson","David West","/players/g/georgpa01.html","/players/h/hibbero01.html","/players/h/hillge01.html","/players/s/stephla01.html","/players/w/westda01.html"
"3","2","L. Aldridge†|†N. Batum†|†D. Lillard†|†R. Lopez†|†W. Matthews","POR","2013-14","69","1372.1","2702","2704","94.6","39.1","85.2",".459","8.7","22.9",".381",".510","20.3","24.0",".848","107.3","23.9","5.2","4.9","12.8","14.8","-1.2","-3.4","+.004","+2.4","+5.8","+.012","+.020","+7.2","+6.7","+.091","+7.3","LaMarcus Aldridge","Nicolas Batum","Damian Lillard","Robin Lopez","Wesley Matthews","/players/a/aldrila01.html","/players/b/batumni01.html","/players/l/lillada01.html","/players/l/lopezro01.html","/players/m/matthwe02.html"
"4","3","C. Brewer†|†K. Love†|†K. Martin†|†N. Pekovic†|†R. Rubio","MIN","2013-14","51","1051.1","2200","2185","100.1","43.0","89.8",".479","7.9","20.2",".394",".523","22.6","27.4",".823","116.5","27.9","9.6","1.9","13.9","16.5","+0.8","+4.4","-.015","+0.4","-0.2","+.025","-0.015","+10.3","+11.6","+.044","+12.3","Corey Brewer","Kevin Love","Kevin Martin","Nikola Pekoviƒá","Ricky Rubio","/players/b/breweco01.html","/players/l/loveke01.html","/players/m/martike02.html","/players/p/pekovni01.html","/players/r/rubiori01.html"
"5","4","A. Bogut†|†S. Curry†|†A. Iguodala†|†D. Lee†|†K. Thompson","GSW","2013-14","44","817.5","1650","1659","97.1","44.3","88.7",".500","10.3","23.9",".430",".558","12.2","16.3",".748","111.2","27.9","8.2","5.2","14.7","19.3","+7.0","+2.9","+.065","+4.2","+6.3","+.082","+.087","-3.3","-3.2","-.047","+15.0","Andrew Bogut","Stephen Curry","Andre Iguodala","David Lee","Klay Thompson","/players/b/bogutan01.html","/players/c/curryst01.html","/players/i/iguodan01.html","/players/l/leeda02.html","/players/t/thompkl01.html"
"6","5","D. DeRozan†|†A. Johnson†|†K. Lowry†|†T. Ross†|†J. Valanciunas","TOR","2013-14","56","717.2","1355","1356","90.7","37.6","80.0",".470","8.4","21.1",".400",".523","16.5","20.9",".789","100.2","24.0","5.9","4.8","14.2","20.0","-0.5","-3.9","+.016","+1.7","+4.0","+.004","+.029","+2.0","+2.3","+.009","+2.7","DeMar DeRozan","Amir Johnson","Kyle Lowry","Terrence Ross","Jonas Valanƒçi≈´nas","/players/d/derozde01.html","/players/j/johnsam01.html","/players/l/lowryky01.html","/players/r/rosste01.html","/players/v/valanjo01.html"
"7","6","T. Ariza†|†B. Beal†|†T. Booker†|†M. Gortat†|†J. Wall","WAS","2013-14","50","689.7","1328","1334","92.6","40.2","87.0",".462","8.1","19.4",".416",".509","10.1","14.6",".690","98.6","23.9","7.9","4.5","12.7","16.4","+1.5","+3.3",".000","+1.3","-1.6","+.091","+.006","-3.0","-2.8","-.062","+1.3","Trevor Ariza","Bradley Beal","Trevor Booker","Marcin Gortat","John Wall","/players/a/arizatr01.html","/players/b/bealbr01.html","/players/b/booketr01.html","/players/g/gortama01.html","/players/w/walljo01.html"
"8","7","C. Boozer†|†J. Butler†|†M. Dunleavy†|†K. Hinrich†|†J. Noah","CHI","2013-14","42","679.8","1279","1264","89.8","36.1","83.0",".435","4.9","15.0",".329",".464","14.4","18.0",".800","91.5","25.8","8.3","4.7","13.3","17.7","+3.2","+7.3",".000","-0.8","-2.8","+.008","-0.008","-0.1","-0.7","+.026","+5.5","Carlos Boozer","Jimmy Butler","Mike Dunleavy","Kirk Hinrich","Joakim Noah","/players/b/boozeca01.html","/players/b/butleji01.html","/players/d/dunlemi02.html","/players/h/hinriki01.html","/players/n/noahjo01.html"
"9","8","P. Beverley†|†J. Harden†|†D. Howard†|†T. Jones†|†C. Parsons","HOU","2013-14","35","618.0","1202","1211","93.7","39.8","80.2",".496","8.3","22.4",".370",".547","18.2","26.7",".680","106.0","21.5","7.6","5.7","14.8","18.1","+0.1","-6.4","+.038","+0.7","+2.3","-.008","+.046","+4.7","+9.0","-.083","+5.5","Patrick Beverley","James Harden","Dwight Howard","Terrence Jones","Chandler Parsons","/players/b/beverpa01.html","/players/h/hardeja01.html","/players/h/howardw01.html","/players/j/joneste01.html","/players/p/parsoch01.html"
"10","9","M. Conley†|†M. Gasol†|†C. Lee†|†T. Prince†|†Z. Randolph","MEM","2013-14","35","591.2","1072","1067","86.8","39.6","81.7",".485","4.3","11.2",".384",".511","12.2","16.2",".750","95.7","21.8","6.9","4.1","10.6","13.8","+4.1","+2.4","+.037","-2.2","-7.7","+.041","+.022","+1.7","+2.5","-.013","+7.6","Mike Conley","Marc Gasol","Courtney Lee","Tayshaun Prince","Zach Randolph","/players/c/conlemi01.html","/players/g/gasolma01.html","/players/l/leeco01.html","/players/p/princta01.html","/players/r/randoza01.html"
"11","10","K. Durant†|†S. Ibaka†|†R. Jackson†|†K. Perkins†|†T. Sefolosha","OKC","2013-14","31","549.0","1083","1070","94.1","39.9","82.5",".483","6.5","19.0",".341",".522","15.4","18.7",".822","101.6","21.5","7.8","7.0","15.2","17.0","+3.1","-3.1","+.053","-2.0","-4.1","-.026","+.043","+2.6","+1.6","+.078","+6.7","Kevin Durant","Serge Ibaka","Reggie Jackson","Kendrick Perkins","Thabo Sefolosha","/players/d/duranke01.html","/players/i/ibakase01.html","/players/j/jacksre01.html","/players/p/perkike01.html","/players/s/sefolth01.html"
