"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","R. Allen†|†K. Garnett†|†K. Perkins†|†P. Pierce†|†R. Rondo","BOS","2008-09","51","1074.3","2021","2022","90.3","39.7","77.0",".516","5.0","13.0",".383",".548","16.5","21.0",".785","100.9","25.2","8.0","6.2","15.8","18.4","+5.1","-4.0","+.088","-1.2","-3.8","+.018","+.083","+2.6","+3.0","+.011","+11.6","Ray Allen","Kevin Garnett","Kendrick Perkins","Paul Pierce","Rajon Rondo","/players/a/allenra02.html","/players/g/garneke01.html","/players/p/perkike01.html","/players/p/piercpa01.html","/players/r/rondora01.html"
"3","2","R. Bell†|†B. Diaw†|†R. Felton†|†E. Okafor†|†G. Wallace","CHA","2008-09","40","809.4","1515","1521","90.0","39.6","79.3",".499","5.6","14.4",".388",".534","13.7","19.6",".700","98.4","26.7","6.9","6.0","14.8","17.4","+4.7","-0.2","+.061","-1.1","-3.1","+.007","+.054","-1.3","+0.4","-.081","+7.1","Raja Bell","Boris Diaw","Raymond Felton","Emeka Okafor","Gerald Wallace","/players/b/bellra01.html","/players/d/diawbo01.html","/players/f/feltora01.html","/players/o/okafoem01.html","/players/w/wallage01.html"
"4","3","S. Dalembert†|†W. Green†|†A. Iguodala†|†A. Miller†|†T. Young","PHI","2008-09","51","784.0","1432","1440","87.9","40.3","79.8",".506","3.2","9.9",".329",".526","14.4","19.3",".746","98.3","24.5","8.6","4.9","12.9","16.7","+3.3","+0.4","+.039","-4.4","-9.2","-.073","+.011","+2.3","+3.6","-.024","+4.5","Samuel Dalembert","Willie Green","Andre Iguodala","Andre Miller","Thaddeus Young","/players/d/dalemsa01.html","/players/g/greenwi01.html","/players/i/iguodan01.html","/players/m/millean02.html","/players/y/youngth01.html"
"5","4","L. Aldridge†|†N. Batum†|†S. Blake†|†J. Przybilla†|†B. Roy","POR","2008-09","51","561.0","987","993","84.7","40.5","81.3",".498","7.4","17.5",".422",".543","12.7","16.4",".776","101.0","23.4","6.8","6.1","11.0","18.1","+6.0","+4.4","+.049","+2.0","+4.4","+.007","+.059","+0.9","+1.4","-.008","+14.9","LaMarcus Aldridge","Nicolas Batum","Steve Blake","Joel Przybilla","Brandon Roy","/players/a/aldrila01.html","/players/b/batumni01.html","/players/b/blakest01.html","/players/p/przybjo01.html","/players/r/roybr01.html"
"6","5","M. World Peace†|†S. Battier†|†A. Brooks†|†Y. Ming†|†L. Scola","HOU","2008-09","30","555.3","1024","1014","88.1","38.2","78.6",".486","8.0","19.1",".421",".537","13.4","16.6",".807","97.8","20.6","6.1","5.2","13.6","14.8","+2.2","-4.1","+.052","+2.3","+4.3","+.035","+.068","+2.6","+2.6","+.036","+9.4","Metta World Peace","Shane Battier","Aaron Brooks","Yao Ming","Luis Scola","/players/a/artesro01.html","/players/b/battish01.html","/players/b/brookaa01.html","/players/m/mingya01.html","/players/s/scolalu01.html"
"7","6","M. Bonner†|†T. Duncan†|†M. Finley†|†R. Mason†|†T. Parker","SAS","2008-09","57","554.1","1013","1010","87.6","40.2","80.5",".499","9.0","19.6",".460",".555","9.4","13.7",".684","98.7","22.4","4.9","4.0","10.6","14.6","+1.7","-3.0","+.039","+5.5","+9.7","+.109","+.074","-1.4","+0.4","-.127","+7.6","Matt Bonner","Tim Duncan","Michael Finley","Roger Mason","Tony Parker","/players/b/bonnema01.html","/players/d/duncati01.html","/players/f/finlemi01.html","/players/m/masonro01.html","/players/p/parketo01.html"
"8","7","T. Ariza†|†K. Bryant†|†D. Fisher†|†P. Gasol†|†L. Odom","LAL","2008-09","61","499.0","971","981","93.9","40.2","84.2",".478","6.9","19.7",".351",".519","24.4","30.8",".794","111.8","19.6","10.4","3.8","10.5","20.2","+4.2","+4.7","+.025","-0.4","-1.8","+.012","+.020","+6.9","+6.0","+.088","+15.0","Trevor Ariza","Kobe Bryant","Derek Fisher","Pau Gasol","Lamar Odom","/players/a/arizatr01.html","/players/b/bryanko01.html","/players/f/fishede01.html","/players/g/gasolpa01.html","/players/o/odomla01.html"
"9","8","Z. Ilgauskas†|†L. James†|†B. Wallace†|†D. West†|†M. Williams","CLE","2008-09","30","485.0","902","892","88.8","39.5","80.4",".491","7.4","18.7",".397",".538","16.6","21.6",".771","103.0","23.3","8.3","7.7","13.2","16.2","+6.0","+1.9","+.065","+1.6","+4.6","-.016","+.074","+4.8","+5.8","+.022","+18.5","Zydrunas Ilgauskas","LeBron James","Ben Wallace","Delonte West","Mo Williams","/players/i/ilgauzy01.html","/players/j/jamesle01.html","/players/w/wallabe01.html","/players/w/westde01.html","/players/w/willima01.html"
"10","9","Z. Ilgauskas†|†L. James†|†A. Varej„o†|†D. West†|†M. Williams","CLE","2008-09","38","475.4","871","872","88.0","38.2","80.4",".475","8.5","17.7",".480",".528","17.4","21.8",".796","102.2","23.7","7.7","5.1","11.1","17.9","+3.3","-0.3","+.043","+2.0","+0.1","+.112","+.056","+2.9","+1.7","+.078","+11.6","Zydrunas Ilgauskas","LeBron James","Anderson Varej√£o","Delonte West","Mo Williams","/players/i/ilgauzy01.html","/players/j/jamesle01.html","/players/v/varejan01.html","/players/w/westde01.html","/players/w/willima01.html"
"11","10","K. Bryant†|†A. Bynum†|†D. Fisher†|†P. Gasol†|†V. Radmanovic","LAL","2008-09","31","451.3","878","877","93.3","41.4","84.2",".491","7.9","16.5",".477",".538","17.1","21.4",".801","107.8","23.4","6.5","5.5","13.9","15.3","+0.2","-3.7","+.023","+0.4","-2.0","+.075","+.028","+5.5","+5.5","+.069","+6.4","Kobe Bryant","Andrew Bynum","Derek Fisher","Pau Gasol","Vladimir Radmanoviƒá","/players/b/bryanko01.html","/players/b/bynuman01.html","/players/f/fishede01.html","/players/g/gasolpa01.html","/players/r/radmavl01.html"
