"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","M. Barnes†|†B. Griffin†|†D. Jordan†|†C. Paul†|†J. Redick","LAC","2014-15","60","1213.6","2397","2395","94.8","43.5","85.5",".508","10.6","25.2",".422",".571","17.3","25.2",".688","114.9","30.1","7.9","5.8","12.0","17.1","+6.2","+1.2","+.066","+2.4","+2.6","+.058","+.079","+3.1","+6.1","-.056","+17.8","Matt Barnes","Blake Griffin","DeAndre Jordan","Chris Paul","J.J. Redick","/players/b/barnema02.html","/players/g/griffbl01.html","/players/j/jordade01.html","/players/p/paulch01.html","/players/r/redicjj01.html"
"3","2","D. Carroll†|†A. Horford†|†K. Korver†|†P. Millsap†|†J. Teague","ATL","2014-15","57","913.6","1816","1793","94.8","40.8","83.0",".492","10.3","24.7",".416",".554","15.0","18.6",".808","107.0","29.6","10.1","4.8","14.7","15.6","+2.3","-1.3","+.035","+3.0","+2.6","+.088","+.054","+1.2","+0.5","+.043","+8.9","DeMarre Carroll","Al Horford","Kyle Korver","Paul Millsap","Jeff Teague","/players/c/carrode01.html","/players/h/horfoal01.html","/players/k/korveky01.html","/players/m/millspa01.html","/players/t/teaguje01.html"
"4","3","H. Barnes†|†A. Bogut†|†S. Curry†|†D. Green†|†K. Thompson","GSW","2014-15","58","810.5","1668","1664","98.7","44.7","89.2",".501","14.6","33.4",".438",".583","11.3","14.3",".785","115.3","31.3","9.2","7.0","13.9","16.7","+7.5","+1.4","+.078","+8.0","+15.4","+.070","+.122","-3.6","-4.9","+.014","+19.5","Harrison Barnes","Andrew Bogut","Stephen Curry","Draymond Green","Klay Thompson","/players/b/barneha02.html","/players/b/bogutan01.html","/players/c/curryst01.html","/players/g/greendr01.html","/players/t/thompkl01.html"
"5","4","L. Aldridge†|†N. Batum†|†D. Lillard†|†R. Lopez†|†W. Matthews","POR","2014-15","32","628.4","1223","1234","93.8","38.7","85.2",".454","8.3","23.7",".352",".503","17.9","21.9",".819","103.7","21.6","7.3","5.5","12.2","15.7","+1.6","-1.3","+.025","+2.5","+5.7","+.028","+.041","+4.5","+3.6","+.085","+10.2","LaMarcus Aldridge","Nicolas Batum","Damian Lillard","Robin Lopez","Wesley Matthews","/players/a/aldrila01.html","/players/b/batumni01.html","/players/l/lillada01.html","/players/l/lopezro01.html","/players/m/matthwe02.html"
"6","5","B. Beal†|†M. Gortat†|†N. Hil·rio†|†P. Pierce†|†J. Wall","WAS","2014-15","40","594.8","1172","1168","94.4","40.7","82.7",".492","7.1","18.1",".393",".535","13.5","18.6",".726","101.9","26.3","8.5","3.4","14.1","18.6","+3.5","+0.1","+.042","-0.7","-3.8","+.035","+.037","-1.0","0.0","-.057","+5.2","Bradley Beal","Marcin Gortat","Nen√™ Hil√°rio","Paul Pierce","John Wall","/players/b/bealbr01.html","/players/g/gortama01.html","/players/h/hilarne01.html","/players/p/piercpa01.html","/players/w/walljo01.html"
"7","6","K. Irving†|†L. James†|†K. Love†|†T. Mozgov†|†J. Smith","CLE","2014-15","33","479.2","960","955","95.9","43.6","85.8",".508","11.9","31.0",".385",".577","15.0","19.8",".758","114.1","27.3","9.8","4.5","15.0","12.7","+5.1","-0.8","+.064","+5.0","+12.1","+.018","+.093","+5.1","+5.8","+.050","+20.3","Kyrie Irving","LeBron James","Kevin Love","Timofey Mozgov","J.R. Smith","/players/i/irvinky01.html","/players/j/jamesle01.html","/players/l/loveke01.html","/players/m/mozgoti01.html","/players/s/smithjr01.html"
"8","7","T. Allen†|†M. Conley†|†M. Gasol†|†C. Lee†|†Z. Randolph","MEM","2014-15","43","459.2","882","888","92.5","39.2","78.0",".503","5.0","10.9",".462",".535","20.6","25.1",".821","104.0","21.6","9.8","4.9","14.3","17.4","+0.4","-4.1","+.030","-3.4","-10.2","+.061","+.011","+8.3","+8.6","+.074","+5.6","Tony Allen","Mike Conley","Marc Gasol","Courtney Lee","Zach Randolph","/players/a/allento01.html","/players/c/conlemi01.html","/players/g/gasolma01.html","/players/l/leeco01.html","/players/r/randoza01.html"
"9","8","D. Collison†|†D. Cousins†|†R. Gay†|†B. McLemore†|†J. Thompson","SAC","2014-15","30","425.6","852","850","96.0","40.9","84.0",".487","6.8","16.4",".414",".528","17.6","22.3",".788","106.3","21.2","8.7","4.1","13.9","19.2","+6.0","+1.5","+.064","+0.1","-5.5","+.110","+.064","+3.8","+3.6","+.053","+15.9","Darren Collison","DeMarcus Cousins","Rudy Gay","Ben McLemore","Jason Thompson","/players/c/collida01.html","/players/c/couside01.html","/players/g/gayru01.html","/players/m/mclembe01.html","/players/t/thompja02.html"
"10","9","A. Afflalo†|†W. Chandler†|†K. Faried†|†T. Lawson†|†T. Mozgov","DEN","2014-15","29","414.8","824","811","94.6","40.5","86.1",".470","7.2","18.4",".390",".512","17.0","23.3",".731","105.2","22.8","5.9","4.3","15.7","20.2","0.0","+0.7","-.004","+0.6","+0.5","+.022","-0.001","+0.2","+1.3","-.032","+0.8","Arron Afflalo","Wilson Chandler","Kenneth Faried","Ty Lawson","Timofey Mozgov","/players/a/afflaar01.html","/players/c/chandwi01.html","/players/f/farieke01.html","/players/l/lawsoty01.html","/players/m/mozgoti01.html"
"11","10","E. Bledsoe†|†G. Dragic†|†A. Len†|†M. Morris†|†P. Tucker","PHO","2014-15","35","391.2","782","782","95.9","41.5","85.0",".488","6.1","18.2",".338",".524","12.0","16.2",".742","101.1","20.5","11.5","6.6","15.2","17.7","+4.2","-2.1","+.060","-1.8","-3.1","-.038","+.050","-0.2","-2.2","+.076","+6.3","Eric Bledsoe","Goran Dragiƒá","Alex Len","Markieff Morris","P.J. Tucker","/players/b/bledser01.html","/players/d/dragigo01.html","/players/l/lenal01.html","/players/m/morrima02.html","/players/t/tuckepj01.html"
"12","11","D. DeRozan†|†A. Johnson†|†K. Lowry†|†T. Ross†|†J. Valanciunas","TOR","2014-15","31","388.6","754","757","93.3","40.3","82.8",".487","8.2","19.0",".429",".536","14.8","18.8",".789","103.5","21.9","6.1","5.1","14.0","19.4","+1.2","-2.1","+.027","0.0","-1.7","+.036","+.028","+0.2","-1.6","+.074","+2.7","DeMar DeRozan","Amir Johnson","Kyle Lowry","Terrence Ross","Jonas Valanƒçi≈´nas","/players/d/derozde01.html","/players/j/johnsam01.html","/players/l/lowryky01.html","/players/r/rosste01.html","/players/v/valanjo01.html"
"13","12","R. Hibbert†|†G. Hill†|†S. Hill†|†C. Miles†|†D. West","IND","2014-15","30","373.8","717","723","92.5","36.6","83.2",".440","8.3","20.0",".417",".490","16.6","20.5",".806","98.1","24.3","6.7","4.9","10.8","19.0","+0.9","+0.6","+.007","+0.3","-0.5","+.023","+.009","+0.6","+0.3","+.021","+2.7","Roy Hibbert","George Hill","Solomon Hill","C.J. Miles","David West","/players/h/hibbero01.html","/players/h/hillge01.html","/players/h/hillso01.html","/players/m/milescj01.html","/players/w/westda01.html"
"14","13","T. Ariza†|†P. Beverley†|†J. Harden†|†D. Howard†|†D. Motiejunas","HOU","2014-15","25","360.1","713","718","95.4","38.0","80.5",".472","12.1","30.4",".399",".547","18.0","24.3",".742","106.1","25.2","10.8","4.7","18.4","20.4","+2.0","-1.7","+.034","+5.1","+9.1","+.068","+.067","+0.9","+3.6","-.084","+10.0","Trevor Ariza","Patrick Beverley","James Harden","Dwight Howard","Donatas Motiej≈´nas","/players/a/arizatr01.html","/players/b/beverpa01.html","/players/h/hardeja01.html","/players/h/howardw01.html","/players/m/motiedo01.html"
"15","14","J. Butler†|†M. Dunleavy†|†P. Gasol†|†J. Noah†|†D. Rose","CHI","2014-15","21","353.1","693","693","94.2","39.1","83.7",".468","7.2","20.3",".356",".511","17.7","22.0",".802","103.2","25.3","6.0","6.7","13.2","13.2","-0.3","-4.9","+.023","+0.1","+2.0","-.032","+.026","+4.6","+5.6","+.009","+4.2","Jimmy Butler","Mike Dunleavy","Pau Gasol","Joakim Noah","Derrick Rose","/players/b/butleji01.html","/players/d/dunlemi02.html","/players/g/gasolpa01.html","/players/n/noahjo01.html","/players/r/rosede01.html"
"16","15","÷. Asik†|†A. Davis†|†T. Evans†|†E. Gordon†|†Q. Pondexter","NOP","2014-15","25","345.6","652","655","90.8","39.6","81.4",".486","9.2","19.9",".462",".543","13.1","19.2",".681","101.4","25.4","6.4","8.1","14.3","15.8","+1.8","-0.4","+.025","+2.9","+2.5","+.102","+.043","-1.4","+1.1","-.119","+5.1","√ñmer A≈üƒ±k","Anthony Davis","Tyreke Evans","Eric Gordon","Quincy Pondexter","/players/a/asikom01.html","/players/d/davisan02.html","/players/e/evansty01.html","/players/g/gordoer01.html","/players/p/pondequ01.html"
"17","16","G. Antetokounmpo†|†M. Carter-Williams†|†E. Ilyasova†|†K. Middleton†|†Z. Pachulia","MIL","2014-15","24","343.2","676","680","94.8","40.3","83.9",".480","6.6","14.7",".448",".519","16.5","21.5",".766","103.7","26.9","11.3","2.7","15.8","21.3","+4.6","+6.3","+.021","-2.5","-9.9","+.078","+.001","+1.4","+1.0","+.032","+8.1","Giannis Antetokounmpo","Michael Carter-Williams","Ersan ƒ∞lyasova","Khris Middleton","Zaza Pachulia","/players/a/antetgi01.html","/players/c/cartemi01.html","/players/i/ilyaser01.html","/players/m/middlkh01.html","/players/p/pachuza01.html"
"18","17","B. Beal†|†M. Gortat†|†K. Humphries†|†P. Pierce†|†J. Wall","WAS","2014-15","28","315.9","618","622","94.2","38.1","82.8",".461","6.1","15.2",".400",".497","13.1","17.6",".741","95.4","25.7","8.2","6.1","15.7","19.6","+3.0","+2.3","+.025","-0.3","-4.3","+.072","+.022","-5.0","-5.5","-.042","+0.8","Bradley Beal","Marcin Gortat","Kris Humphries","Paul Pierce","John Wall","/players/b/bealbr01.html","/players/g/gortama01.html","/players/h/humphkr01.html","/players/p/piercpa01.html","/players/w/walljo01.html"
"19","18","W. Chandler†|†K. Faried†|†R. Foye†|†D. Gallinari†|†T. Lawson","DEN","2014-15","16","266.5","538","535","96.6","41.6","85.9",".484","13.3","31.2",".428",".562","17.6","22.0",".803","114.2","25.0","9.5","3.1","12.4","18.7","+0.7","+3.8","-.014","+3.6","+6.3","+.036","+.005","+3.6","+2.3","+.088","+8.6","Wilson Chandler","Kenneth Faried","Randy Foye","Danilo Gallinari","Ty Lawson","/players/c/chandwi01.html","/players/f/farieke01.html","/players/f/foyera01.html","/players/g/gallida01.html","/players/l/lawsoty01.html"
"20","19","T. Duncan†|†D. Green†|†K. Leonard†|†T. Parker†|†T. Splitter","SAS","2014-15","29","265.0","520","527","94.8","45.1","85.0",".531","6.5","14.5",".450",".569","14.9","17.9",".828","111.6","28.1","10.7","8.3","11.6","15.9","+8.5","-2.7","+.114","+0.5","-2.2","+.091","+.118","+2.4","+1.8","+.053","+19.9","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","Tiago Splitter","/players/d/duncati01.html","/players/g/greenda02.html","/players/l/leonaka01.html","/players/p/parketo01.html","/players/s/splitti01.html"
"21","20","B. Diaw†|†T. Duncan†|†D. Green†|†K. Leonard†|†T. Parker","SAS","2014-15","44","263.6","510","508","92.7","42.1","83.4",".504","8.4","19.3",".434",".555","16.6","21.1",".784","109.1","24.8","8.0","7.3","12.7","13.1","+2.2","-3.5","+.045","+1.8","+0.5","+.084","+.058","+5.1","+5.8","+.034","+11.3","Boris Diaw","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","/players/d/diawbo01.html","/players/d/duncati01.html","/players/g/greenda02.html","/players/l/leonaka01.html","/players/p/parketo01.html"
"24","21","K. Irving†|†L. James†|†K. Love†|†S. Marion†|†A. Varej„o","CLE","2014-15","22","255.0","495","491","92.8","39.9","83.4",".479","6.4","19.4",".330",".517","16.9","21.3",".796","103.1","28.8","7.9","5.5","14.1","15.4","-1.3","-3.0","+.001","+0.4","+0.4","+.013","+.005","+6.4","+7.7","+.019","+4.1","Kyrie Irving","LeBron James","Kevin Love","Shawn Marion","Anderson Varej√£o","/players/i/irvinky01.html","/players/j/jamesle01.html","/players/l/loveke01.html","/players/m/mariosh01.html","/players/v/varejan01.html"
"25","22","M. Brown†|†J. Johnson†|†B. Lopez†|†D. Williams†|†T. Young","BRK","2014-15","23","254.8","481","489","91.4","39.6","85.0",".466","5.7","15.6",".361",".499","15.8","19.0",".832","100.6","20.5","6.8","4.9","10.0","13.8","+0.6","+0.6","+.004","-3.8","-5.7","-.081","-0.019","+7.3","+7.0","+.129","+4.7","Markel Brown","Joe Johnson","Brook Lopez","Deron Williams","Thaddeus Young","/players/b/brownma02.html","/players/j/johnsjo02.html","/players/l/lopezbr01.html","/players/w/willide01.html","/players/y/youngth01.html"
"26","23","K. Caldwell-Pope†|†A. Drummond†|†B. Jennings†|†G. Monroe†|†K. Singler","DET","2014-15","24","254.0","500","498","94.3","39.3","88.1",".446","8.7","23.4",".371",".496","12.9","18.9",".680","100.2","22.9","9.3","4.7","16.3","15.7","+0.6","+0.9","+.002","+3.6","+4.2","+.106","+.022","+1.1","+4.0","-.105","+5.9","Kentavious Caldwell-Pope","Andre Drummond","Brandon Jennings","Greg Monroe","Kyle Singler","/players/c/caldwke01.html","/players/d/drumman01.html","/players/j/jennibr01.html","/players/m/monrogr01.html","/players/s/singlky01.html"
"27","24","T. Chandler†|†M. Ellis†|†J. Nelson†|†D. Nowitzki†|†C. Parsons","DAL","2014-15","21","253.8","500","498","94.4","42.6","87.0",".489","10.0","27.4",".366",".547","16.3","19.3",".843","111.4","27.2","6.1","4.2","10.8","14.2","+1.9","+1.7","+.012","0.0","+3.2","-.049","+.011","+6.8","+5.7","+.149","+10.6","Tyson Chandler","Monta Ellis","Jameer Nelson","Dirk Nowitzki","Chandler Parsons","/players/c/chandty01.html","/players/e/ellismo01.html","/players/n/nelsoja01.html","/players/n/nowitdi01.html","/players/p/parsoch01.html"
"28","25","S. Adams†|†K. Durant†|†S. Ibaka†|†A. Roberson†|†R. Westbrook","OKC","2014-15","23","248.5","492","494","95.2","40.8","84.8",".481","7.9","20.1",".394",".527","18.7","22.8",".822","108.2","24.9","8.9","7.0","16.4","18.7","+4.1","+1.9","+.038","-0.8","-0.4","-.030","+.032","+6.8","+7.7","+.027","+14.1","Steven Adams","Kevin Durant","Serge Ibaka","Andre Roberson","Russell Westbrook","/players/a/adamsst01.html","/players/d/duranke01.html","/players/i/ibakase01.html","/players/r/roberan03.html","/players/w/westbru01.html"
"29","26","J. Crawford†|†B. Griffin†|†D. Jordan†|†C. Paul†|†J. Redick","LAC","2014-15","44","243.4","477","473","93.7","37.9","77.5",".489","9.5","22.7",".417",".550","28.8","35.5",".811","114.0","24.3","7.9","7.3","12.0","19.9","0.0","-3.0","+.018","+0.6","0.0","+.026","+.024","+9.5","+9.9","+.057","+10.1","Jamal Crawford","Blake Griffin","DeAndre Jordan","Chris Paul","J.J. Redick","/players/c/crawfja01.html","/players/g/griffbl01.html","/players/j/jordade01.html","/players/p/paulch01.html","/players/r/redicjj01.html"
"30","27","M. Gortat†|†N. Hil·rio†|†P. Pierce†|†G. Temple†|†J. Wall","WAS","2014-15","20","241.5","481","472","94.7","36.8","81.7",".450","5.6","16.9",".329",".484","16.3","22.1",".739","95.4","25.4","9.9","4.4","17.3","17.1","+1.6","-1.6","+.028","-2.8","-5.4","-.046","+.012","+8.3","+9.7","+.094","+8.7","Marcin Gortat","Nen√™ Hil√°rio","Paul Pierce","Garrett Temple","John Wall","/players/g/gortama01.html","/players/h/hilarne01.html","/players/p/piercpa01.html","/players/t/templga01.html","/players/w/walljo01.html"
"31","28","E. Bledsoe†|†G. Dragic†|†M. Morris†|†M. Morris†|†M. Plumlee","PHO","2014-15","26","237.3","466","465","94.2","42.5","81.9",".519","7.9","16.2",".488",".567","10.9","12.7",".857","103.8","23.1","8.7","5.5","16.8","20.0","+3.2","-2.4","+.053","+2.0","-0.8","+.142","+.067","-4.2","-5.3","+.014","+4.2","Eric Bledsoe","Goran Dragiƒá","Markieff Morris","Marcus Morris","Miles Plumlee","/players/b/bledser01.html","/players/d/dragigo01.html","/players/m/morrima02.html","/players/m/morrima03.html","/players/p/plumlmi01.html"
"32","29","T. Hansbrough†|†J. Johnson†|†P. Patterson†|†G. V·squez†|†L. Williams","TOR","2014-15","39","227.9","429","429","90.3","39.0","81.5",".478","10.3","28.6",".360",".541","19.2","25.7",".746","107.4","21.3","8.2","4.0","11.6","22.7","+5.1","+3.4","+.044","+2.9","+7.2","+.017","+.060","+3.2","+1.7","+.079","+16.2","Tyler Hansbrough","James Johnson","Patrick Patterson","Greivis V√°squez","Lou Williams","/players/h/hansbty01.html","/players/j/johnsja01.html","/players/p/pattepa01.html","/players/v/vasqugr01.html","/players/w/willilo02.html"
"33","30","M. Barnes†|†J. Crawford†|†B. Griffin†|†D. Jordan†|†C. Paul","LAC","2014-15","44","224.7","433","441","93.3","40.8","81.8",".499","7.5","20.1",".372",".544","23.9","33.7",".709","113.0","22.6","7.5","4.9","9.6","21.1","+3.6","-0.6","+.048","-1.3","-6.2","+.039","+.041","+5.1","+7.5","-.007","+11.1","Matt Barnes","Jamal Crawford","Blake Griffin","DeAndre Jordan","Chris Paul","/players/b/barnema02.html","/players/c/crawfja01.html","/players/g/griffbl01.html","/players/j/jordade01.html","/players/p/paulch01.html"
"34","31","÷. Asik†|†D. Cunningham†|†A. Davis†|†T. Evans†|†E. Gordon","NOP","2014-15","20","209.6","393","389","89.6","40.1","83.1",".482","5.7","12.1",".472",".517","14.2","19.2",".738","100.1","24.7","6.6","5.0","13.5","14.0","+4.1","+1.8","+.040","-0.2","-6.4","+.151","+.038","+3.0","+4.1","-.004","+11.0","√ñmer A≈üƒ±k","Dante Cunningham","Anthony Davis","Tyreke Evans","Eric Gordon","/players/a/asikom01.html","/players/c/cunnida01.html","/players/d/davisan02.html","/players/e/evansty01.html","/players/g/gordoer01.html"
"35","32","H. Barnes†|†S. Curry†|†D. Green†|†M. Speights†|†K. Thompson","GSW","2014-15","35","200.5","427","434","103.0","47.6","95.0",".501","13.4","30.2",".444",".572","14.1","17.0",".831","122.8","31.4","11.3","6.7","12.7","18.2","+8.1","+6.5","+.055","+5.7","+5.3","+.137","+.083","-4.1","-6.7","+.063","+18.0","Harrison Barnes","Stephen Curry","Draymond Green","Marreese Speights","Klay Thompson","/players/b/barneha02.html","/players/c/curryst01.html","/players/g/greendr01.html","/players/s/speigma01.html","/players/t/thompkl01.html"
"36","33","M. Barnes†|†S. Hawes†|†D. Jordan†|†C. Paul†|†J. Redick","LAC","2014-15","17","197.9","383","390","93.8","41.5","83.9",".494","13.3","31.5",".423",".574","12.1","17.2",".704","108.4","28.6","8.0","3.9","13.1","21.1","+6.8","+1.0","+.076","+4.4","+6.1","+.071","+.101","-6.5","-7.3","-.058","+11.4","Matt Barnes","Spencer Hawes","DeAndre Jordan","Chris Paul","J.J. Redick","/players/b/barnema02.html","/players/h/hawessp01.html","/players/j/jordade01.html","/players/p/paulch01.html","/players/r/redicjj01.html"
"37","34","D. Exum†|†D. Favors†|†R. Gobert†|†G. Hayward†|†J. Ingles","UTA","2014-15","31","187.2","340","342","87.5","32.3","74.9",".432","7.4","20.3",".367",".481","15.4","22.8",".674","87.5","19.2","6.9","6.4","17.4","16.9","-2.3","-3.6","-.010","+1.3","+4.1","-.014","+.001","+3.3","+5.4","-.017","0.0","Dante Exum","Derrick Favors","Rudy Gobert","Gordon Hayward","Joe Ingles","/players/e/exumda01.html","/players/f/favorde01.html","/players/g/goberru01.html","/players/h/haywago01.html","/players/i/inglejo01.html"
