"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","S. Adams†|†T. Ferguson†|†P. George†|†J. Grant†|†R. Westbrook","OKC","2018-19","58","919.1","1964","1967","102.6","45.3","94.6",".479","11.9","29.6",".400",".541","15.1","21.4",".709","117.6","26.4","9.3","4.1","14.2","21.6","+4.2","+5.7","+.017","-0.1","-4.0","+.044","+.012","+0.1","+0.8","-.024","+8.4","Steven Adams","Terrance Ferguson","Paul George","Jerami Grant","Russell Westbrook","/players/a/adamsst01.html","/players/f/fergute01.html","/players/g/georgpa01.html","/players/g/grantje01.html","/players/w/westbru01.html"
"3","2","D. Augustin†|†E. Fournier†|†A. Gordon†|†J. Isaac†|†N. Vucevic","ORL","2018-19","66","865.3","1746","1750","97.0","42.3","89.6",".472","10.3","29.6",".349",".529","13.4","16.9",".793","108.3","27.3","7.3","5.2","13.9","13.8","+0.9","+0.3","+.008","+0.4","+1.1","+.003","+.010","+1.7","+2.7","-.031","+3.9","D.J. Augustin","Evan Fournier","Aaron Gordon","Jonathan Isaac","Nikola Vuƒçeviƒá","/players/a/augusdj01.html","/players/f/fournev01.html","/players/g/gordoaa01.html","/players/i/isaacjo01.html","/players/v/vucevni01.html"
"4","3","A. Aminu†|†M. Harkless†|†D. Lillard†|†C. McCollum†|†J. Nurkic","POR","2018-19","42","744.1","1547","1545","99.7","44.8","92.5",".484","10.1","28.3",".358",".539","19.0","22.5",".842","118.6","25.5","8.1","6.1","12.1","20.8","+4.3","+4.0","+.026","-0.5","+0.1","-.020","+.021","+1.0","-0.3","+.054","+9.0","Al-Farouq Aminu","Maurice Harkless","Damian Lillard","CJ McCollum","Jusuf Nurkiƒá","/players/a/aminual01.html","/players/h/harklma01.html","/players/l/lillada01.html","/players/m/mccolcj01.html","/players/n/nurkiju01.html"
"5","4","G. Antetokounmpo†|†E. Bledsoe†|†M. Brogdon†|†B. Lopez†|†K. Middleton","MIL","2018-19","56","597.8","1303","1296","104.3","45.5","92.5",".492","12.4","36.1",".344",".559","17.3","22.3",".777","120.8","27.1","8.5","6.5","13.6","16.6","+1.0","-3.9","+.031","-1.7","+0.2","-.048","+.025","+6.5","+8.5","-.008","+6.9","Giannis Antetokounmpo","Eric Bledsoe","Malcolm Brogdon","Brook Lopez","Khris Middleton","/players/a/antetgi01.html","/players/b/bledser01.html","/players/b/brogdma01.html","/players/l/lopezbr01.html","/players/m/middlkh01.html"
"6","5","N. Batum†|†J. Lamb†|†K. Walker†|†M. Williams†|†C. Zeller","CHO","2018-19","48","593.2","1205","1205","97.5","42.3","91.3",".464","13.3","36.0",".369",".536","17.5","20.1",".871","115.4","25.9","7.5","4.8","11.1","17.2","+1.1","+0.6","+.010","+0.4","-0.5","+.016","+.011","+4.8","+4.0","+.082","+7.4","Nicolas Batum","Jeremy Lamb","Kemba Walker","Marvin Williams","Cody Zeller","/players/b/batumni01.html","/players/l/lambje01.html","/players/w/walkeke02.html","/players/w/willima02.html","/players/z/zelleco01.html"
"7","6","B. Bogdanovic†|†D. Collison†|†V. Oladipo†|†M. Turner†|†T. Young","IND","2018-19","32","555.4","1109","1111","95.9","41.6","86.5",".481","10.0","25.0",".401",".538","12.4","16.8",".742","105.6","24.0","9.4","6.6","14.0","16.8","+3.5","-0.3","+.042","-2.5","-9.6","+.039","+.028","0.0","+0.1","-.004","+4.4","Bojan Bogdanoviƒá","Darren Collison","Victor Oladipo","Myles Turner","Thaddeus Young","/players/b/bogdabo02.html","/players/c/collida01.html","/players/o/oladivi01.html","/players/t/turnemy01.html","/players/y/youngth01.html"
"8","7","D. Green†|†S. Ibaka†|†K. Leonard†|†K. Lowry†|†P. Siakam","TOR","2018-19","33","546.7","1114","1126","98.3","43.8","90.0",".487","11.5","32.8",".350",".551","16.7","19.8",".841","115.8","26.7","8.0","5.4","12.2","17.3","+2.8","-2.9","+.045","-0.6","-1.7","-.001","+.044","+4.3","+4.0","+.062","+9.3","Danny Green","Serge Ibaka","Kawhi Leonard","Kyle Lowry","Pascal Siakam","/players/g/greenda02.html","/players/i/ibakase01.html","/players/l/leonaka01.html","/players/l/lowryky01.html","/players/s/siakapa01.html"
"9","8","A. Horford†|†K. Irving†|†M. Morris†|†M. Smart†|†J. Tatum","BOS","2018-19","42","504.6","1037","1044","99.0","46.5","92.3",".504","13.2","34.4",".384",".576","10.4","12.4",".838","116.6","28.0","8.2","4.9","11.7","19.0","+6.1","+4.4","+.044","-0.4","-1.2","+.003","+.038","-6.1","-8.4","+.045","+5.7","Al Horford","Kyrie Irving","Marcus Morris","Marcus Smart","Jayson Tatum","/players/h/horfoal01.html","/players/i/irvinky01.html","/players/m/morrima03.html","/players/s/smartma01.html","/players/t/tatumja01.html"
"10","9","D. Favors†|†R. Gobert†|†J. Ingles†|†D. Mitchell†|†R. Rubio","UTA","2018-19","56","500.9","1029","1037","99.0","41.1","87.4",".470","9.8","28.3",".346",".526","14.4","20.9",".688","106.4","26.4","8.9","4.9","15.5","17.9","+0.3","-0.8","+.007","+1.3","+1.8","+.027","+.015","+3.6","+6.3","-.049","+5.6","Derrick Favors","Rudy Gobert","Joe Ingles","Donovan Mitchell","Ricky Rubio","/players/f/favorde01.html","/players/g/goberru01.html","/players/i/inglejo01.html","/players/m/mitchdo01.html","/players/r/rubiori01.html"
"11","10","J. Crowder†|†R. Gobert†|†J. Ingles†|†D. Mitchell†|†R. Rubio","UTA","2018-19","59","479.7","1012","1001","100.7","42.0","85.6",".491","13.8","35.6",".388",".572","22.9","30.0",".763","120.8","26.1","8.5","5.7","13.2","22.1","+3.7","-0.7","+.047","+2.4","+6.3","-.001","+.061","+1.9","+3.7","-.035","+11.7","Jae Crowder","Rudy Gobert","Joe Ingles","Donovan Mitchell","Ricky Rubio","/players/c/crowdja01.html","/players/g/goberru01.html","/players/i/inglejo01.html","/players/m/mitchdo01.html","/players/r/rubiori01.html"
"12","11","K. Anderson†|†M. Conley†|†M. Gasol†|†J. Jackson†|†G. Temple","MEM","2018-19","40","464.3","909","903","93.7","38.3","79.9",".479","9.6","25.4",".378",".539","13.4","17.6",".765","99.6","25.5","9.2","7.4","13.9","18.1","+3.4","-2.3","+.055","-0.6","-3.5","+.024","+.053","+2.1","+2.2","+.026","+8.3","Kyle Anderson","Mike Conley","Marc Gasol","Jaren Jackson","Garrett Temple","/players/a/anderky01.html","/players/c/conlemi01.html","/players/g/gasolma01.html","/players/j/jacksja02.html","/players/t/templga01.html"
