,ranker,lineup,team_id,season,g,mp,poss,opp_poss,pace,fg,fga,fg_pct,fg3,fg3a,fg3_pct,efg_pct,ft,fta,ft_pct,pts,ast,stl,blk,tov,pf,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_pts,X1,X2,X3,X4,X5,X1,X2,X3,X4,X5
2,1,C. Cheaney†|†M. Harpring†|†K. Malone†|†G. Ostertag†|†J. Stockton,UTA,2002-03,68,866.5,1585,1592,88,38.6,76.8,0.503,1.7,4,0.431,0.514,16.4,22.7,0.724,95.3,29.3,8.7,5,15.7,18.7,5.3,-1.9,0.079,-4.2,-11.8,0.055,0.053,2.2,3.9,-0.034,8.5,Calbert Cheaney,Matt Harpring,Karl Malone,Greg Ostertag,John Stockton,/players/c/cheanca01.html,/players/h/harprma01.html,/players/m/malonka01.html,/players/o/ostergr01.html,/players/s/stockjo01.html
3,2,M. Bibby†|†D. Christie†|†V. Divac†|†P. Stojakovic†|†C. Webber,SAC,2002-03,42,840.2,1722,1710,98,43.4,86.9,0.499,5.1,13.5,0.381,0.528,16.7,21.6,0.775,108.6,30.2,9.8,5.2,13,17,3.8,-3.2,0.06,0.7,-0.1,0.056,0.065,2.2,1.5,0.051,10.5,Mike Bibby,Doug Christie,Vlade Divac,Peja Stojakoviƒá,Chris Webber,/players/b/bibbymi01.html,/players/c/chrisdo01.html,/players/d/divacvl01.html,/players/s/stojape01.html,/players/w/webbech01.html
4,3,P. Brown†|†B. Davis†|†J. Magloire†|†J. Mashburn†|†D. Wesley,NOH,2002-03,42,725,1369,1362,90.4,37.4,82.3,0.455,5.9,14.8,0.397,0.49,16.4,20.9,0.782,97.1,22.7,7.7,4.1,13.7,20.7,1.6,3.2,0.001,2.2,4.6,0.036,0.014,1.3,0.9,0.03,6.7,P.J. Brown,Baron Davis,Jamaal Magloire,Jamal Mashburn,David Wesley,/players/b/brownpj01.html,/players/d/davisba01.html,/players/m/magloja01.html,/players/m/mashbja01.html,/players/w/wesleda01.html
5,4,S. Francis†|†E. Griffin†|†Y. Ming†|†C. Mobley†|†J. Posey,HOU,2002-03,43,716.2,1368,1364,91.5,37.2,80.3,0.463,6.5,17.8,0.366,0.504,14.9,18.7,0.799,95.8,19.7,7.9,6.3,16,17,1.6,-2.3,0.033,1.3,2.9,0.018,0.042,0.8,0.7,0.012,5.4,Steve Francis,Eddie Griffin,Yao Ming,Cuttino Mobley,James Posey,/players/f/francst01.html,/players/g/griffed01.html,/players/m/mingya01.html,/players/m/moblecu01.html,/players/p/poseyja01.html
6,5,D. Anderson†|†D. Davis†|†S. Pippen†|†R. Wallace†|†B. Wells,POR,2002-03,37,672.6,1293,1293,92.3,38.5,79.6,0.483,5.9,16.6,0.356,0.521,16.2,21.5,0.754,99.1,24.8,8.8,4.3,16.2,17.8,3,-1.9,0.048,0.5,1,0.009,0.052,2.4,3.5,-0.016,8.8,Derek Anderson,Dale Davis,Scottie Pippen,Rasheed Wallace,Bonzi Wells,/players/a/anderde01.html,/players/d/davisda01.html,/players/p/pippesc01.html,/players/w/wallara01.html,/players/w/wellsbo01.html
7,6,S. Abdur-Rahim†|†D. Glover†|†T. Ratliff†|†G. Robinson†|†J. Terry,ATL,2002-03,47,667.9,1304,1291,93.2,36.8,78.7,0.468,5.5,13.9,0.392,0.502,19.2,23,0.834,98.2,23,7.8,7.8,15.4,17.5,-1.1,-8.9,0.034,0.9,-0.7,0.078,0.043,6.3,5.8,0.081,4.8,Shareef Abdur-Rahim,Dion Glover,Theo Ratliff,Glenn Robinson,Jason Terry,/players/a/abdursh01.html,/players/g/glovedi01.html,/players/r/ratlith01.html,/players/r/robingl01.html,/players/t/terryja01.html
8,7,B. Bowen†|†T. Duncan†|†S. Jackson†|†T. Parker†|†D. Robinson,SAS,2002-03,51,647.2,1203,1202,89.2,37.2,76.2,0.488,4.8,13,0.371,0.52,18.5,25.3,0.733,97.8,22.7,6.5,8.2,13.8,15.6,3.6,-7.7,0.088,1.3,1.5,0.062,0.099,5.2,7.9,-0.033,13.7,Bruce Bowen,Tim Duncan,Stephen Jackson,Tony Parker,David Robinson,/players/b/bowenbr01.html,/players/d/duncati01.html,/players/j/jacksst02.html,/players/p/parketo01.html,/players/r/robinda01.html
9,8,J. Collins†|†R. Jefferson†|†J. Kidd†|†K. Kittles†|†K. Martin,NJN,2002-03,47,639.1,1221,1224,91.8,34.5,76.8,0.449,3.6,11.3,0.318,0.472,20,26.7,0.749,92.5,24,8.3,4.3,15.6,19.5,-0.7,-2.3,0.005,-1.5,-3.5,-0.026,-0.004,6.8,8.2,0.034,3.9,Jason Collins,Richard Jefferson,Jason Kidd,Kerry Kittles,Kenyon Martin,/players/c/collija04.html,/players/j/jefferi01.html,/players/k/kiddja01.html,/players/k/kittlke01.html,/players/m/martike01.html
10,9,B. Haywood†|†L. Hughes†|†M. Jordan†|†C. Laettner†|†J. Stackhouse,WAS,2002-03,39,595.4,1105,1107,89.2,37.6,77.4,0.485,1.7,6.1,0.276,0.496,17.5,22.7,0.77,94.3,23.5,8.5,4.7,13.4,18,2.1,-2.4,0.041,-3.7,-8.7,-0.088,0.018,4.3,4.7,0.037,4.8,Brendan Haywood,Larry Hughes,Michael Jordan,Christian Laettner,Jerry Stackhouse,/players/h/haywobr01.html,/players/h/hughela01.html,/players/j/jordami01.html,/players/l/laettch01.html,/players/s/stackje01.html
11,10,K. Garnett†|†T. Hudson†|†R. Nesterovic†|†A. Peeler†|†W. Szczerbiak,MIN,2002-03,38,563.3,1078,1066,91.4,43.6,85.1,0.513,5.4,13,0.412,0.544,12.7,16.4,0.772,105.3,28.8,5.3,5.7,11.1,17.8,5.5,-1.6,0.073,-0.4,-2.6,0.04,0.072,-0.9,-1.1,-0.005,9.7,Kevin Garnett,Troy Hudson,Rasho Nesteroviƒá,Anthony Peeler,Wally Szczerbiak,/players/g/garneke01.html,/players/h/hudsotr01.html,/players/n/nestera01.html,/players/p/peelean01.html,/players/s/szczewa02.html
12,11,M. World Peace†|†B. Miller†|†R. Miller†|†J. O'Neal†|†J. Tinsley,IND,2002-03,39,548.9,1098,1094,95.8,36.8,81.9,0.449,5.9,16.8,0.349,0.485,20.5,26.4,0.775,100,26,9.7,6,15.4,20.7,-0.1,-3.8,0.019,0.3,1.2,-0.005,0.023,3.3,4,0.009,3.5,Metta World Peace,Brad Miller,Reggie Miller,Jermaine O'Neal,Jamaal Tinsley,/players/a/artesro01.html,/players/m/millebr01.html,/players/m/millere01.html,/players/o/onealje01.html,/players/t/tinslja01.html
