"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","T. Chandler†|†C. Paul†|†M. Peterson†|†P. Stojakovic†|†D. West","NOH","2007-08","63","1210.1","2287","2284","90.7","40.8","84.4",".484","8.3","20.2",".410",".533","15.4","19.8",".777","105.3","24.7","7.5","3.1","10.7","16.6","+1.4","+2.7","+.001","+3.0","+5.0","+.061","+.018","+4.2","+4.6","+.046","+10.1","Tyson Chandler","Chris Paul","Morris Peterson","Peja Stojakoviƒá","David West","/players/c/chandty01.html","/players/p/paulch01.html","/players/p/petermo01.html","/players/s/stojape01.html","/players/w/westda01.html"
"3","2","C. Billups†|†R. Hamilton†|†A. McDyess†|†T. Prince†|†R. Wallace","DET","2007-08","64","1138.7","2015","2021","85.1","37.3","79.3",".471","6.4","16.1",".398",".511","15.1","18.5",".814","96.2","24.3","7.4","4.8","9.8","15.1","+2.7","+2.4","+.021","+2.1","+3.5","+.061","+.033","+2.5","+1.7","+.064","+10.1","Chauncey Billups","Richard Hamilton","Antonio McDyess","Tayshaun Prince","Rasheed Wallace","/players/b/billuch01.html","/players/h/hamilri01.html","/players/m/mcdyean01.html","/players/p/princta01.html","/players/w/wallara01.html"
"4","3","R. Allen†|†K. Garnett†|†K. Perkins†|†P. Pierce†|†R. Rondo","BOS","2007-08","59","1072.0","2038","2043","91.4","40.4","79.2",".511","6.2","15.4",".401",".550","16.2","21.1",".769","103.3","26.0","8.9","5.4","13.7","18.8","+7.7","-0.1","+.098","+1.1","-1.1","+.092","+.105","+1.3","+1.1","+.021","+17.7","Ray Allen","Kevin Garnett","Kendrick Perkins","Paul Pierce","Rajon Rondo","/players/a/allenra02.html","/players/g/garneke01.html","/players/p/perkike01.html","/players/p/piercpa01.html","/players/r/rondora01.html"
"5","4","C. Boozer†|†R. Brewer†|†A. Kirilenko†|†M. Okur†|†D. Williams","UTA","2007-08","59","974.1","1905","1911","94.0","42.1","80.5",".523","4.1","10.8",".379",".548","17.8","22.8",".780","106.0","29.5","9.4","4.4","15.2","18.5","+1.5","-0.5","+.022","-1.9","-4.3","-.016","+.011","+2.8","+1.4","+.079","+3.9","Carlos Boozer","Ronnie Brewer","Andrei Kirilenko","Mehmet Okur","Deron Williams","/players/b/boozeca01.html","/players/b/brewero02.html","/players/k/kirilan01.html","/players/o/okurme01.html","/players/w/willide01.html"
"6","5","C. Anthony†|†M. Camby†|†A. Carter†|†A. Iverson†|†K. Martin","DEN","2007-08","52","923.1","1908","1930","99.8","44.2","87.4",".506","3.9","9.6",".405",".528","19.1","25.1",".761","111.4","29.0","9.7","7.7","13.1","19.1","+0.7","-3.1","+.025","-3.2","-8.2","+.008","+.009","+3.5","+3.6","+.033","+1.8","Carmelo Anthony","Marcus Camby","Anthony Carter","Allen Iverson","Kenyon Martin","/players/a/anthoca01.html","/players/c/cambyma01.html","/players/c/cartean01.html","/players/i/iversal01.html","/players/m/martike01.html"
"7","6","C. Butler†|†A. Daniels†|†B. Haywood†|†A. Jamison†|†D. Stevenson","WAS","2007-08","40","736.8","1362","1361","88.7","37.1","80.2",".462","6.7","19.5",".343",".504","19.0","24.3",".780","99.8","21.2","8.0","3.5","11.7","14.1","-2.0","+1.0","-.031","-1.1","+0.2","-.061","-0.039","+6.8","+9.0","-.011","+1.7","Caron Butler","Antonio Daniels","Brendan Haywood","Antawn Jamison","DeShawn Stevenson","/players/b/butleca01.html","/players/d/daniean01.html","/players/h/haywobr01.html","/players/j/jamisan01.html","/players/s/stevede01.html"
"8","7","K. Bogans†|†D. Howard†|†R. Lewis†|†J. Nelson†|†H. T¸rkoglu","ORL","2007-08","55","673.7","1364","1362","97.1","37.9","80.2",".472","10.1","28.6",".354",".536","19.0","27.1",".701","104.9","23.3","6.4","3.9","15.3","20.9","-0.9","-6.8","+.026","+3.8","+9.7","+.022","+.054","+0.6","+3.1","-.068","+2.6","Keith Bogans","Dwight Howard","Rashard Lewis","Jameer Nelson","Hedo T√ºrkoƒülu","/players/b/boganke01.html","/players/h/howardw01.html","/players/l/lewisra02.html","/players/n/nelsoja01.html","/players/t/turkohe01.html"
"9","8","L. Aldridge†|†S. Blake†|†J. Przybilla†|†B. Roy†|†M. Webster","POR","2007-08","55","570.7","1019","1028","86.1","37.5","80.4",".467","7.3","17.2",".426",".512","9.9","13.1",".756","92.3","22.6","4.8","4.6","13.4","16.7","-0.2","+0.2","-.003","+3.1","+5.4","+.069","+.016","-1.8","-2.4","+.001","+1.0","LaMarcus Aldridge","Steve Blake","Joel Przybilla","Brandon Roy","Martell Webster","/players/a/aldrila01.html","/players/b/blakest01.html","/players/p/przybjo01.html","/players/r/roybr01.html","/players/w/webstma02.html"
"10","9","A. Bargnani†|†C. Bosh†|†J. CalderÛn†|†J. Moon†|†A. Parker","TOR","2007-08","45","555.4","1003","1005","86.8","39.0","78.1",".499","7.3","18.2",".403",".546","15.8","19.0",".832","101.1","24.2","6.8","4.0","10.4","15.9","+1.8","-2.9","+.040","+0.4","+0.5","+.013","+.044","+5.0","+4.6","+.083","+9.1","Andrea Bargnani","Chris Bosh","Jos√© Calder√≥n","Jamario Moon","Anthony Parker","/players/b/bargnan01.html","/players/b/boshch01.html","/players/c/caldejo01.html","/players/m/moonja01.html","/players/p/parkean01.html"
"11","10","A. Horford†|†A. Johnson†|†J. Johnson†|†J. Smith†|†M. Williams","ATL","2007-08","40","541.9","1030","1026","91.1","36.3","81.1",".448","3.2","8.8",".364",".467","16.5","21.7",".759","92.3","25.1","8.5","5.7","13.0","19.2","+1.0","+4.0","-.010","-1.8","-5.5","+.016","-0.023","+0.6","+1.4","-.022","+0.8","Al Horford","Anthony Johnson","Joe Johnson","Josh Smith","Marvin Williams","/players/h/horfoal01.html","/players/j/johnsan02.html","/players/j/johnsjo02.html","/players/s/smithjo03.html","/players/w/willima02.html"
