"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,0,1,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,2018
"2",-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,2018
"3",0,-1,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2018
"4",1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,-1,1,2018
"5",1,0,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,2018
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2018
"8",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,2018
"9",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2018
