"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,0,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"2",-1,0,-1,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,-1,2010
"3",1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2010
"4",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,2010
"5",0,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,1,0,1,-1,2010
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,0,2010
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"8",1,1,0,0,0,0,1,1,0,1,1,0,0,0,-1,1,0,0,1,0,1,2010
"9",-1,0,-1,0,0,0,-1,0,-1,-1,0,-1,0,0,0,1,1,0,0,1,-1,2010
