"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,0,2012
"2",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012
"3",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,1,1,-1,2012
"4",1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,2012
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"6",-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,2012
"7",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,2012
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,0,0,2012
"9",-1,-1,1,0,0,-1,0,-1,1,-1,-1,-1,0,1,0,0,1,1,-1,1,-1,2012
