"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,-1,1,0,-1,0,0,0,1,0,0,-1,1,1,1,-1,0,1,0,1,0,2013
"2",-1,-1,0,0,0,-1,0,0,-1,0,0,-1,1,1,1,-1,0,1,0,1,-1,2013
"3",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2013
"4",1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,2013
"5",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
"7",-1,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,2013
"8",1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,-1,1,2013
"9",-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,1,1,1,-1,2013
