"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2008
"2",0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,0,1,0,1,0,2008
"3",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
"4",1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,2008
"5",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
"6",-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,1,-1,1,-1,2008
"7",1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2008
"8",0,-1,1,0,-1,-1,0,0,1,0,0,-1,1,1,1,-1,0,1,0,1,0,2008
"9",0,-1,1,0,-1,-1,0,0,0,1,1,-1,0,1,1,-1,0,-1,1,1,1,2008
