"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,1,-1,-1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,2020
"2",1,1,1,0,-1,-1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,2020
"3",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
"4",0,-1,1,-1,-1,-1,1,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2020
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020
"6",0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
"7",1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,-1,1,2020
"8",-1,-1,-1,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,1,0,-1,0,-1,2020
"9",0,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,2020
