"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
"2",-1,-1,0,0,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2014
"3",0,0,1,0,-1,-1,1,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2014
"4",1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2014
"5",0,0,0,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,2014
"6",1,1,0,1,1,1,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,1,2014
"7",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,-1,1,2014
"8",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,-1,2014
"9",-1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,1,1,0,1,0,-1,2014
