"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,-1,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,0,0,1,0,1,-1,2016
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"3",1,1,1,-1,-1,-1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2016
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"5",-1,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,0,-1,2016
"6",1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2016
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2016
"8",1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2016
"9",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,2016
