"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,1,0,1,0,2003
"2",1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,2003
"3",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003
"4",0,0,0,1,1,1,-1,-1,0,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,2003
"5",-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,2003
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2003
"7",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2003
"8",0,0,-1,0,0,1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,1,1,-1,2003
"9",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,2003
