,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,clst,sub_grp9
9.2006,0,-1,1,0,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,2006,9,8
1.2007,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2007,1,7
2.2007,-1,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,1,-1,2007,2,8
3.2007,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2007,3,3
4.2007,0,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,0,1,-1,1,2007,4,2
5.2007,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,5,7
6.2007,-1,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,1,0,1,-1,2007,6,6
7.2007,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007,7,1
8.2007,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,2007,8,9
9.2007,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,1,0,0,-1,0,0,-1,1,-1,2007,9,8
1.2008,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2008,1,2
2.2008,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,0,1,0,1,0,2008,2,6
3.2008,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,3,4
4.2008,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,2008,4,9
5.2008,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,5,7
6.2008,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,1,-1,1,-1,2008,6,8
7.2008,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2008,7,3
8.2008,0,-1,1,0,-1,-1,0,0,1,0,0,-1,1,1,1,-1,0,1,0,1,0,2008,8,6
9.2008,0,-1,1,0,-1,-1,0,0,0,1,1,-1,0,1,1,-1,0,-1,1,1,1,2008,9,6
1.2009,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,1,1
2.2009,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,1,-1,2009,2,5
3.2009,0,0,0,1,1,1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,2009,3,4
4.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,4,7
5.2009,0,-1,1,0,0,-1,0,0,1,0,0,-1,1,1,1,-1,0,1,0,1,-1,2009,5,6
6.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2009,6,2
7.2009,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,2009,7,8
8.2009,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2009,8,3
9.2009,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2009,9,9
1.201,0,0,0,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,4
2.201,-1,0,-1,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,-1,2010,2,5
3.201,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2010,3,9
4.201,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,2010,4,8
5.201,0,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,1,0,1,-1,2010,5,6
6.201,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,0,2010,6,2
7.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7,7
8.201,1,1,0,0,0,0,1,1,0,1,1,0,0,0,-1,1,0,0,1,0,1,2010,8,3
9.201,-1,0,-1,0,0,0,-1,0,-1,-1,0,-1,0,0,0,1,1,0,0,1,-1,2010,9,8
1.2011,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2011,1,6
2.2011,0,0,0,1,1,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,2011,2,4
3.2011,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,-1,2011,3,8
4.2011,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,2011,4,3
5.2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011,5,7
6.2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2011,6,2
7.2011,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,1,0,0,2011,7,2
8.2011,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,2011,8,9
9.2011,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,1,1,1,0,-1,0,1,1,-1,2011,9,5
1.2012,0,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,0,2012,1,6
2.2012,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,2,1
3.2012,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,1,1,-1,2012,3,5
4.2012,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,2012,4,9
5.2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,5,7
6.2012,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,2012,6,8
7.2012,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,2012,7,3
8.2012,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,0,0,2012,8,2
9.2012,-1,-1,1,0,0,-1,0,-1,1,-1,-1,-1,0,1,0,0,1,1,-1,1,-1,2012,9,8
1.2013,0,-1,1,0,-1,0,0,0,1,0,0,-1,1,1,1,-1,0,1,0,1,0,2013,1,6
2.2013,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,1,1,1,-1,0,1,0,1,-1,2013,2,6
3.2013,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2013,3,2
4.2013,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,2013,4,9
5.2013,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,5,4
6.2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,6,7
7.2013,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,2013,7,8
8.2013,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,-1,1,2013,8,3
9.2013,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,1,1,1,-1,2013,9,5
1.2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1,7
2.2014,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2014,2,6
3.2014,0,0,1,0,-1,-1,1,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2014,3,6
4.2014,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2014,4,9
5.2014,0,0,0,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,2014,5,4
6.2014,1,1,0,1,1,1,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,1,2014,6,1
7.2014,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,-1,1,2014,7,3
8.2014,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,-1,2014,8,8
9.2014,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,1,1,0,1,0,-1,2014,9,2
1.2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,7
2.2015,0,0,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,-1,0,1,0,1,0,2015,2,6
3.2015,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,3,1
4.2015,0,0,-1,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,2015,4,4
5.2015,1,1,1,0,-1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2015,5,9
6.2015,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,-1,1,2015,6,3
7.2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2015,7,2
8.2015,-1,-1,-1,0,0,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,-1,2015,8,8
9.2015,-1,0,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,1,-1,2015,9,8
1.2016,0,-1,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,0,0,1,0,1,-1,2016,1,6
2.2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,7
3.2016,1,1,1,-1,-1,-1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2016,3,9
4.2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,4,7
5.2016,-1,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,0,-1,2016,5,8
6.2016,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2016,6,1
7.2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2016,7,2
8.2016,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2016,8,3
9.2016,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,2016,9,8
1.2017,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1,4
2.2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,2,7
3.2017,1,0,1,-1,-1,-1,1,1,1,0,1,-1,1,1,1,0,0,1,0,1,0,2017,3,9
4.2017,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,2017,4,8
5.2017,-1,-1,1,-1,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2017,5,6
6.2017,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,6,1
7.2017,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2017,7,2
8.2017,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,2017,8,3
9.2017,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,0,2017,9,5
1.2018,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,2018,1,4
2.2018,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,2018,2,8
3.2018,0,-1,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2018,3,6
4.2018,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,-1,1,2018,4,3
5.2018,1,0,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,2018,5,9
6.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,6,7
7.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2018,7,2
8.2018,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,2018,8,8
9.2018,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2018,9,3
1.2019,0,0,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,2019,1,4
2.2019,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2019,2,2
3.2019,0,-1,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2019,3,6
4.2019,1,1,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,2019,4,9
5.2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,5,1
6.2019,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2019,6,8
7.2019,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,-1,2019,7,8
8.2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2019,8,7
9.2019,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2019,9,3
1.202,0,0,1,-1,-1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,2020,1,6
2.202,1,1,1,0,-1,-1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,2020,2,9
3.202,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,3,1
4.202,0,-1,1,-1,-1,-1,1,0,1,0,0,-1,1,1,1,0,0,1,0,1,0,2020,4,6
5.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,2
6.202,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,6,7
7.202,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,-1,1,2020,7,3
8.202,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,1,0,-1,0,-1,2020,8,8
9.202,0,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,2020,9,5
