"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"2",0,0,1,-1,-1,-1,0,0,1,0,0,-1,1,1,1,-1,0,1,0,1,0,2015
"3",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
"4",0,0,-1,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,2015
"5",1,1,1,0,-1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2015
"6",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,-1,1,2015
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2015
"8",-1,-1,-1,0,0,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,-1,2015
"9",-1,0,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,1,-1,2015
