"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"2",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,2002
"3",1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,2002
"4",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2002
"5",0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,2002
"6",-1,-1,0,0,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2002
"7",0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,1,0,0,2002
"8",-1,0,-1,0,0,-1,0,0,-1,1,1,-1,0,0,0,0,0,0,0,1,0,2002
"9",0,0,0,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,2002
