"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",-1,-1,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2011
"2",0,0,0,1,1,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,2011
"3",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,-1,2011
"4",1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,2011
"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011
"6",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2011
"7",0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,1,0,0,2011
"8",1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,2011
"9",-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,1,1,1,0,-1,0,1,1,-1,2011
