"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"2",0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,2006
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"4",0,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1,-1,1,1,0,1,0,0,2006
"5",-1,-1,0,0,0,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2006
"6",0,0,0,1,1,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,2006
"7",-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,2006
"8",1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,2006
"9",0,-1,1,0,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,2006
