"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2007
"2",-1,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,1,-1,2007
"3",1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,-1,1,2007
"4",0,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,0,0,1,-1,1,2007
"5",0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
"6",-1,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,1,0,1,-1,2007
"7",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007
"8",1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,2007
"9",-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,1,0,0,-1,0,0,-1,1,-1,2007
