"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","year"
"1",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017
"3",1,0,1,-1,-1,-1,1,1,1,0,1,-1,1,1,1,0,0,1,0,1,0,2017
"4",-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,2017
"5",-1,-1,1,-1,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2017
"6",1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017
"7",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2017
"8",1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,2017
"9",0,0,0,1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,0,2017
